ID	reERR1346801_taxonomic_profile	reERR1346802_taxonomic_profile	reERR1346803_taxonomic_profile	reERR1346804_taxonomic_profile	reERR1346805_taxonomic_profile	reERR1346806_taxonomic_profile	reERR1346807_taxonomic_profile	reERR1346808_taxonomic_profile	reERR1346809_taxonomic_profile	reERR1346810_taxonomic_profile	reERR1346811_taxonomic_profile	reERR1346812_taxonomic_profile	reERR1346813_taxonomic_profile	reERR1346814_taxonomic_profile	reERR1346815_taxonomic_profile	reERR1346816_taxonomic_profile	reERR1346817_taxonomic_profile	reERR1346818_taxonomic_profile	reERR1346819_taxonomic_profile	reERR1346820_taxonomic_profile	reERR1346821_taxonomic_profile	reERR1346822_taxonomic_profile	reERR1346823_taxonomic_profile	reERR1346824_taxonomic_profile	reERR1346825_taxonomic_profile	reERR1346826_taxonomic_profile	reERR1346827_taxonomic_profile	reERR1346828_taxonomic_profile	reERR1346829_taxonomic_profile	reERR1346830_taxonomic_profile	reERR1346831_taxonomic_profile	reERR1346832_taxonomic_profile	reERR1346833_taxonomic_profile	reERR1346834_taxonomic_profile	reERR1346835_taxonomic_profile	reERR1346836_taxonomic_profile	reERR1346837_taxonomic_profile	reERR1346838_taxonomic_profile	reERR1346839_taxonomic_profile	reERR1346840_taxonomic_profile	reERR1346841_taxonomic_profile	reERR1346842_taxonomic_profile	reERR1346843_taxonomic_profile	reERR1346844_taxonomic_profile	reERR1346845_taxonomic_profile	reERR1346846_taxonomic_profile	reERR1346847_taxonomic_profile	reERR1346848_taxonomic_profile	reERR1346849_taxonomic_profile	reERR1346850_taxonomic_profile	reERR1346851_taxonomic_profile	reERR1346852_taxonomic_profile	reERR1346853_taxonomic_profile	reERR1346854_taxonomic_profile	reERR1346855_taxonomic_profile	reERR1346856_taxonomic_profile	reERR1346857_taxonomic_profile	reERR1346858_taxonomic_profile	reERR1346859_taxonomic_profile	reERR1346860_taxonomic_profile	reERR1346861_taxonomic_profile	reERR1346862_taxonomic_profile	reERR1346863_taxonomic_profile	reERR1346864_taxonomic_profile	reERR1346865_taxonomic_profile	reERR1346866_taxonomic_profile	reERR1346867_taxonomic_profile	reERR1346868_taxonomic_profile	reERR1346869_taxonomic_profile	reERR1346870_taxonomic_profile	reERR1346871_taxonomic_profile	reERR1346872_taxonomic_profile	reERR1346873_taxonomic_profile	reERR1346874_taxonomic_profile	reERR1346875_taxonomic_profile	reERR1346876_taxonomic_profile	reERR1346877_taxonomic_profile	reERR1346878_taxonomic_profile	reERR1346879_taxonomic_profile	reERR1346880_taxonomic_profile	reERR1346881_taxonomic_profile	reERR1346882_taxonomic_profile	reERR1346883_taxonomic_profile	reERR1346884_taxonomic_profile	reERR1346887_taxonomic_profile	reERR1346888_taxonomic_profile	reERR1346889_taxonomic_profile	reERR1346890_taxonomic_profile	reERR1346891_taxonomic_profile	reERR1346892_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_indicus_pranii	0.0	0.0	0.0	0.0	0.01609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044	0.0	0.00385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.01727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_indicus_pranii|t__GCF_000298095	0.0	0.0	0.0	0.0	0.01609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044	0.0	0.00385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.01727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_intracellulare	0.30168	0.06325	0.8557	0.20416	0.82543	0.07073	0.03447	0.0	0.14752	0.0	0.0	0.0	0.0	0.0	0.0	0.0905	0.10214	0.0	0.14223	0.48734	0.31237	1.09356	0.07839	0.1214	0.17375	0.03591	0.0819	0.22216	0.0	0.08558	0.02395	0.0	0.06205	0.14616	0.00217	0.46722	0.02007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51117	0.0	0.0	0.0	0.30898	0.03626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67704	0.0	0.0	0.0	0.0	0.14244	0.0	0.14387	0.0	0.0	0.04847	0.0	0.0	1.66512	0.0	0.0	0.0	0.0	0.0	0.15197	0.0	0.0	0.00504	0.0	0.13246	0.3304	0.0242	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_intracellulare|t__Mycobacterium_intracellulare_unclassified	0.30168	0.06325	0.8557	0.20416	0.82543	0.07073	0.03447	0.0	0.14752	0.0	0.0	0.0	0.0	0.0	0.0	0.0905	0.10214	0.0	0.14223	0.48734	0.31237	1.09356	0.07839	0.1214	0.17375	0.03591	0.0819	0.22216	0.0	0.08558	0.02395	0.0	0.06205	0.14616	0.00217	0.46722	0.02007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51117	0.0	0.0	0.0	0.30898	0.03626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67704	0.0	0.0	0.0	0.0	0.14244	0.0	0.14387	0.0	0.0	0.04847	0.0	0.0	1.66512	0.0	0.0	0.0	0.0	0.0	0.15197	0.0	0.0	0.00504	0.0	0.13246	0.3304	0.0242	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01213	0.18003	0.0	0.09289	0.14018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73212	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01213	0.18003	0.0	0.09289	0.14018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73212	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_erythropolis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17096	0.0	0.09009	0.14018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66409	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_erythropolis|t__Rhodococcus_erythropolis_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17096	0.0	0.09009	0.14018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66409	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_opacus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01213	0.00348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_opacus|t__Rhodococcus_opacus_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01213	0.00348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_qingshengii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056	0.0	0.0028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06803	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_qingshengii|t__GCF_000341815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056	0.0	0.0028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06803	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02657	0.15034	0.21943	0.65704	0.00421	0.03574	0.02941	0.68172	1.00779	1.44566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45639	0.53091	0.0483	3.05471	0.42492	0.40611	0.05186	0.31804	0.0	0.17325	2.04376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04386	1.50596	0.0	0.2551	0.0	0.0	0.18122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46958	0.59962	4.4919	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Kribbella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02657	0.15034	0.21943	0.08677	0.00421	0.03574	0.02941	0.68172	0.5893	1.30687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45639	0.53091	0.0483	3.05471	0.36832	0.17847	0.05186	0.31804	0.0	0.17325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04386	1.50596	0.0	0.2551	0.0	0.0	0.18122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46958	0.59962	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Kribbella|s__Kribbella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02657	0.15034	0.21943	0.08677	0.00421	0.03574	0.02941	0.68172	0.5893	1.30687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45639	0.53091	0.0483	3.05471	0.36832	0.17847	0.05186	0.31804	0.0	0.17325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04386	1.50596	0.0	0.2551	0.0	0.0	0.18122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46958	0.59962	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57028	0.0	0.0	0.0	0.0	0.41849	0.13879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0566	0.22764	0.0	0.0	0.0	0.0	2.04376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4919	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_sp_Iso805N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4919	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_sp_Iso805N|t__GCF_000364605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4919	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57028	0.0	0.0	0.0	0.0	0.41849	0.13879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0566	0.22764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Promicromonosporaceae	0.0	0.0	0.0	0.01864	0.21322	0.0	0.0	0.0	0.0	0.0	0.14394	0.0	0.0	0.0	0.04016	0.31367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09009	0.17742	0.0	0.0	0.10511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Promicromonosporaceae|g__Promicromonosporaceae_unclassified	0.0	0.0	0.0	0.01864	0.21322	0.0	0.0	0.0	0.0	0.0	0.14394	0.0	0.0	0.0	0.04016	0.31367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09009	0.17742	0.0	0.0	0.10511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.0	0.03669	0.0	0.11094	0.45919	0.0	0.04286	0.21042	0.13476	0.15058	0.0	0.0	0.0	0.0	0.0	0.63965	0.22096	0.1761	0.0	0.0	0.4472	0.0	0.0	0.0	0.15627	0.0	0.0485	0.96602	0.0	0.19045	0.0	0.0	0.00048	0.0	0.0	0.49623	0.30232	0.09474	0.0	0.25427	0.0	0.0	0.01344	4.96374	0.33191	0.0	0.53779	4.19497	3.81354	0.72298	1.66837	56.47226	9.08393	0.0	0.0	7.51101	12.08655	0.0	10.54453	2.39269	15.73141	0.0	0.0	0.0	0.32348	2.71277	0.81597	0.01695	0.0	0.77608	22.08856	0.0	0.0	1.79766	0.0	4.0378	0.0	20.56974	1.92364	0.0	0.0	0.01028	0.0	0.0	0.03735	0.0	0.13276	1.606	0.10947	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0.0	0.0	0.0	0.09512	0.45919	0.0	0.04286	0.12311	0.04114	0.08511	0.0	0.0	0.0	0.0	0.0	0.63965	0.10162	0.0	0.0	0.0	0.4472	0.0	0.0	0.0	0.13681	0.0	0.0485	0.96602	0.0	0.19045	0.0	0.0	0.0	0.0	0.0	0.47502	0.30232	0.07887	0.0	0.13494	0.0	0.0	0.0	3.9954	0.0	0.0	0.0	0.0	0.0	0.0	1.66837	45.86096	9.08393	0.0	0.0	4.35542	4.53642	0.0	7.52495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77608	22.08856	0.0	0.0	1.79766	0.0	1.2042	0.0	20.56974	1.92364	0.0	0.0	0.0	0.0	0.0	0.03735	0.0	0.0	1.606	0.10947	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.0	0.03669	0.0	0.01582	0.0	0.0	0.0	0.0873	0.09361	0.06546	0.0	0.0	0.0	0.0	0.0	0.0	0.11934	0.1761	0.0	0.0	0.0	0.0	0.0	0.0	0.01947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048	0.0	0.0	0.02121	0.0	0.01587	0.0	0.11933	0.0	0.0	0.01344	0.96834	0.33191	0.0	0.53779	4.19497	3.81354	0.72298	0.0	10.61131	0.0	0.0	0.0	3.15559	7.55013	0.0	3.01958	2.39269	15.73141	0.0	0.0	0.0	0.32348	2.71277	0.81597	0.01695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8336	0.0	0.0	0.0	0.0	0.0	0.01028	0.0	0.0	0.0	0.0	0.13276	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0.0	0.03669	0.0	0.01582	0.0	0.0	0.0	0.0873	0.09361	0.06546	0.0	0.0	0.0	0.0	0.0	0.0	0.11934	0.1761	0.0	0.0	0.0	0.0	0.0	0.0	0.01947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048	0.0	0.0	0.02121	0.0	0.01587	0.0	0.11933	0.0	0.0	0.01344	0.96834	0.33191	0.0	0.53779	4.19497	3.81354	0.72298	0.0	10.61131	0.0	0.0	0.0	3.15559	7.55013	0.0	3.01958	2.39269	15.73141	0.0	0.0	0.0	0.32348	2.71277	0.81597	0.01695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8336	0.0	0.0	0.0	0.0	0.0	0.01028	0.0	0.0	0.0	0.0	0.13276	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__Propionibacterium_acnes_unclassified	0.0	0.03669	0.0	0.01582	0.0	0.0	0.0	0.0873	0.09361	0.06546	0.0	0.0	0.0	0.0	0.0	0.0	0.11934	0.1761	0.0	0.0	0.0	0.0	0.0	0.0	0.01947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048	0.0	0.0	0.02121	0.0	0.01587	0.0	0.11933	0.0	0.0	0.01344	0.96834	0.33191	0.0	0.53779	4.19497	3.81354	0.72298	0.0	10.61131	0.0	0.0	0.0	3.15559	7.55013	0.0	3.01958	2.39269	15.73141	0.0	0.0	0.0	0.32348	2.71277	0.81597	0.01695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8336	0.0	0.0	0.0	0.0	0.0	0.01028	0.0	0.0	0.0	0.0	0.13276	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae	0.22701	0.0	0.56645	0.04329	1.75337	0.0	0.0	0.0	0.02679	0.0	0.0	0.0	0.0	0.0	0.01619	0.39973	0.15303	0.73867	0.18785	1.27266	0.0	0.87072	0.19226	0.0	0.26521	0.0	0.15546	3.63242	0.04937	0.8458	0.05894	0.02279	0.08372	0.56541	0.0	1.66232	0.03927	0.0	0.0	0.02648	0.0	0.0	0.13241	0.0	0.22117	0.0	0.0	0.23761	0.1185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36004	0.0	0.06039	0.0	0.0	0.66537	0.0	0.0	0.05916	0.0	0.03316	0.0	0.21518	0.0	0.0	0.0	0.0	0.0	0.06753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65685	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Actinomycetospora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
