Taxonomy	reERR1346803	reERR1346806	reERR1346807	reERR1346808	reERR1346810	reERR1346811	reERR1346812	reERR1346813	reERR1346814	reERR1346818	reERR1346821	reERR1346823	reERR1346824	reERR1346829	reERR1346834	reERR1346837	reERR1346839	reERR1346841	reERR1346842	reERR1346846	reERR1346847	reERR1346850	reERR1346851	reERR1346854	reERR1346855	reERR1346856	reERR1346857	reERR1346861	reERR1346862	reERR1346864	reERR1346867	reERR1346869	reERR1346871	reERR1346874	reERR1346877	reERR1346878	reERR1346880	reERR1346881	reERR1346882	reERR1346883	reERR1346884	reERR1346889	reERR1346891	reERR1346892	reERR1346862.1	reERR1346869.1	reERR1346871.1	reERR1346878.1	reERR1346880.1	reERR1346881.1	reERR1346884
k__Bacteria|p__Proteobacteria|c__CFGB13757|o__OFGB13757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37293052337328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB13757|o__OFGB13757|f__FGB13757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37293052337328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB14669	0	0	0	0	0	0	0	0	5.02465754575434	0	0	0	0	0.699115345873698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB14669|o__OFGB14669	0	0	0	0	0	0	0	0	5.02465754575434	0	0	0	0	0.699115345873698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB14669|o__OFGB14669|f__FGB14669	0	0	0	0	0	0	0	0	5.02465754575434	0	0	0	0	0.699115345873698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB14764	0	0	13.8080716386512	0	0	0	0	0	0	0.877039687956816	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82661140818419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.77354377185962	0	0	0	18.6919729014576	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB14764|o__OFGB14764	0	0	13.8080716386512	0	0	0	0	0	0	0.877039687956816	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82661140818419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.77354377185962	0	0	0	18.6919729014576	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB14764|o__OFGB14764|f__FGB14764	0	0	13.8080716386512	0	0	0	0	0	0	0.877039687956816	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82661140818419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.77354377185962	0	0	0	18.6919729014576	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB16137	0	0	0	0	1.99832552388918	0	0	0	0	0	0	0	1.97202628839422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB16137|o__OFGB16137	0	0	0	0	1.99832552388918	0	0	0	0	0	0	0	1.97202628839422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB16137|o__OFGB16137|f__FGB16137	0	0	0	0	1.99832552388918	0	0	0	0	0	0	0	1.97202628839422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB16144	0	0	0	3.84293884691971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB16144|o__OFGB16144	0	0	0	3.84293884691971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB16144|o__OFGB16144|f__FGB16144	0	0	0	3.84293884691971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB22220	0	2.57616303908385	2.61383999348312	0	1.63910445429462	0	1.97494342657378	0	0	0	21.0605629989018	0	16.2754068078245	0	2.61074567417271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB22220|o__OFGB22220	0	2.57616303908385	2.61383999348312	0	1.63910445429462	0	1.97494342657378	0	0	0	21.0605629989018	0	16.2754068078245	0	2.61074567417271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB22220|o__OFGB22220|f__FGB22220	0	2.57616303908385	2.61383999348312	0	1.63910445429462	0	1.97494342657378	0	0	0	21.0605629989018	0	16.2754068078245	0	2.61074567417271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB22220|o__OFGB22220|f__FGB22220|g__GGB44429	0	2.57616303908385	2.61383999348312	0	0	0	1.97494342657378	0	0	0	21.0605629989018	0	16.2754068078245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB2611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50430185017504	0	0	1.57390488531698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB2611|o__OFGB2611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50430185017504	0	0	1.57390488531698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB2611|o__OFGB2611|f__FGB2611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50430185017504	0	0	1.57390488531698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB2619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66062643867153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB2619|o__OFGB2619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66062643867153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB2619|o__OFGB2619|f__FGB2619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66062643867153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB8847	0	0	0	1.73410932386692	0	0	0	0	0	0	0	0	0	0	0	3.82057815534406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB8847|o__OFGB8847	0	0	0	1.73410932386692	0	0	0	0	0	0	0	0	0	0	0	3.82057815534406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB8847|o__OFGB8847|f__FGB8847	0	0	0	1.73410932386692	0	0	0	0	0	0	0	0	0	0	0	3.82057815534406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB8851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47659393875688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB8851|o__OFGB8851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47659393875688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB8851|o__OFGB8851|f__FGB8851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47659393875688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0	0	0	0	0	1.87643655732181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	0	0	0	0	0	1.87643655732181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae	0	0	0	0	0	1.87643655732181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0	0	0	1.16488334662443	0	0	0	0	0	0	1.31617497012021	0	0	0	0	2.43876002177046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	0	0	0	0	0	0	0	0	0	0	1.31617497012021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae	0	0	0	0	0	0	0	0	0	0	1.31617497012021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae|g__Nevskia	0	0	0	0	0	0	0	0	0	0	1.31617497012021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0	0	0	1.16488334662443	0	0	0	0	0	0	0	0	0	0	0	2.43876002177046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	0	0	0	1.16488334662443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43876002177046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Rugamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43876002177046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia	0	0	0	0	2.46075715206738	0	0	0	7.06702844472446	0	0.512141845247117	0	0	0.608435789016171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__CFGB12914	0	0	0	0	0	0	0	0	2.99104574993698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__CFGB12914|o__OFGB12914	0	0	0	0	0	0	0	0	2.99104574993698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__CFGB12914|o__OFGB12914|f__FGB12914	0	0	0	0	0	0	0	0	2.99104574993698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__CFGB40905	0	0	0	0	0	0	0	0	0	0	0.512141845247117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__CFGB40905|o__OFGB40905	0	0	0	0	0	0	0	0	0	0	0.512141845247117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__CFGB40905|o__OFGB40905|f__FGB40905	0	0	0	0	0	0	0	0	0	0	0.512141845247117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__CFGB8409	0	0	0	0	0	0	0	0	4.07598269478748	0	0	0	0	0.608435789016171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__CFGB8409|o__OFGB8409	0	0	0	0	0	0	0	0	4.07598269478748	0	0	0	0	0.608435789016171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__CFGB8409|o__OFGB8409|f__FGB8409	0	0	0	0	0	0	0	0	4.07598269478748	0	0	0	0	0.608435789016171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	0	0	0	2.46075715206738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0	0	0	0	2.46075715206738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0	0	0	0	2.46075715206738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgb_01	0	0.906161137709893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgb_02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3479468084041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgb_03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08863337927482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgb_04	0	0	0.900180325074142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgb_05	0	0	0	0	0	0	1.89504538248066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgb_06	0	0	0	0	0	0	0	0	0	0	0	1.78929539183546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgb_07	0	0	0	0	0	0	0	0	0	0	0	0	0	6.15945905977892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgb_08	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05212955467758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgb_09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03302629526569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgb_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44471626724348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgb_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03798164026747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNKNOWN	96.7702368430834	86.4525603961445	66.7550227148467	74.9173383517917	91.3405027527311	98.1235634426782	96.1300111909456	100	72.9476945407704	98.0113184178229	66.2228908935345	88.3957903859346	73.4087062784906	70.7035301573078	97.3892543258273	87.2310415888629	73.9708849862202	100	100	100	100	96.5895093691839	100	74.0742383935748	100	98.3393735613285	93.7052177829056	97.8313145001207	100	100	95.8799025006933	100	100	100	100	100	100	100	92.2264562281404	100	100	86.9711566230263	62.5123573406237	100	0	0	0	0	0	0	0
