ID	reERR4183438_taxonomic_profile	reERR4183439_taxonomic_profile	reERR4183440_taxonomic_profile	reERR4183441_taxonomic_profile	reERR4183442_taxonomic_profile	reERR4183443_taxonomic_profile	reERR4183444_taxonomic_profile	reERR4183445_taxonomic_profile	reERR4183446_taxonomic_profile	reERR4183447_taxonomic_profile	reERR4183448_taxonomic_profile	reERR4183449_taxonomic_profile	reERR4183450_taxonomic_profile	reERR4183451_taxonomic_profile	reERR4183452_taxonomic_profile	reERR4183453_taxonomic_profile	reERR4183454_taxonomic_profile	reERR4183455_taxonomic_profile	reERR4183456_taxonomic_profile	reERR4183457_taxonomic_profile	reERR4183458_taxonomic_profile	reERR4183459_taxonomic_profile	reERR4183460_taxonomic_profile	reERR4183461_taxonomic_profile	reERR4183462_taxonomic_profile	reERR4183463_taxonomic_profile	reERR4183464_taxonomic_profile	reERR4183465_taxonomic_profile	reERR4183466_taxonomic_profile	reERR4183467_taxonomic_profile	reERR4183468_taxonomic_profile	reERR4183469_taxonomic_profile	reERR4183470_taxonomic_profile	reERR4183471_taxonomic_profile	reERR4183472_taxonomic_profile	reERR4183473_taxonomic_profile	reERR4183474_taxonomic_profile	reERR4183475_taxonomic_profile	reERR4183476_taxonomic_profile	reERR4183477_taxonomic_profile	reERR4183478_taxonomic_profile	reERR4183479_taxonomic_profile	reERR4183480_taxonomic_profile	reERR4183481_taxonomic_profile	reERR4183482_taxonomic_profile	reERR4183483_taxonomic_profile	reERR4183484_taxonomic_profile	reERR4183485_taxonomic_profile	reERR4183486_taxonomic_profile	reERR4183487_taxonomic_profile	reERR4183488_taxonomic_profile	reERR4183489_taxonomic_profile	reERR4183490_taxonomic_profile	reERR4183491_taxonomic_profile	reERR4183492_taxonomic_profile	reERR4183493_taxonomic_profile	reERR4183494_taxonomic_profile	reERR4183495_taxonomic_profile	reERR4183496_taxonomic_profile	reERR4183497_taxonomic_profile	reERR4183498_taxonomic_profile	reERR4183499_taxonomic_profile
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__Parabacteroides_merdae_unclassified	0.0	0.20272	0.00704	0.0	0.0	0.0	0.0	0.0	1.79796	0.48662	2.2357	0.0	1.97898	11.19159	3.90758	3.62071	0.56085	0.07722	2.87022	12.22834	11.49677	1.24235	0.06708	0.29507	0.0008	0.0	0.06056	0.0	0.33388	0.00017	0.12119	0.06925	0.01115	3.23849	2.965	0.72867	0.0	0.08008	0.00897	0.00479	0.69038	0.72655	0.0	0.0	2.24858	2.29657	0.0	0.0	0.0	0.0	0.0	0.0	0.21945	0.92327	0.89018	1.38783	1.49966	4.07617	4.07682	0.30789	0.0	0.28767
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	0.00422	0.0	0.45515	0.02869	0.00953	0.08309	0.59843	0.10007	0.0	0.0	0.54362	0.04732	0.0	0.0	2.58452	4.80975	0.0	0.19408	0.0	8.13949	7.89525	0.0	0.02793	0.48835	0.40702	0.0026	0.0	0.0544	3.68865	0.0	0.53396	0.32571	0.29651	13.53483	17.78336	0.0	0.18987	0.94428	1.05747	0.28523	20.89441	21.61194	0.0666	0.06333	1.07993	2.49023	0.18451	0.18148	2.43156	1.64004	0.77959	1.11604	0.70508	0.0	0.0	7.56599	7.53089	0.0	0.0	0.13371	1.57794	24.54395
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	83.49377	4.99254	0.25572	0.02963	78.86868	2.94759	1.20533	0.11518	84.38219	0.82408	6.70487	53.48028	23.37249	4.01291	0.97013	0.81994	30.94714	72.20256	4.49746	1.29359	1.19074	44.09559	78.73386	6.75458	1.69915	84.27041	77.02928	1.93925	0.99198	80.82222	46.70341	48.49814	0.48202	0.75238	0.77635	22.82767	1.5243	5.09866	4.95736	2.99175	3.42417	3.67174	6.31625	6.32634	1.91228	1.84982	1.39489	1.45352	2.94526	2.91404	3.64446	3.71922	0.98601	5.10622	5.20832	2.39279	2.1493	0.95765	0.94943	0.71629	6.4164	1.82685
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	0.0	0.0	0.00969	0.01792	0.0	0.00444	0.0	0.01456	0.0	0.00203	0.01003	0.00395	0.0	0.00208	0.00294	0.0	0.0	0.0	0.08038	0.00925	0.0	0.0	0.0	0.01139	0.01555	0.0	0.0	0.0061	0.0	0.0	0.0	0.0	0.01239	0.0	0.0	0.0	0.00379	0.0	0.0	0.00986	0.0	0.0	0.0	0.0	0.04049	0.05117	0.0	0.0	0.01168	0.0	0.02112	0.0	0.03743	0.01282	0.0	0.03062	0.0	0.01413	0.0	0.0	0.07172	0.00857
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_unclassified	0.0	0.0	0.00969	0.01792	0.0	0.00444	0.0	0.01456	0.0	0.00203	0.01003	0.00395	0.0	0.00208	0.00294	0.0	0.0	0.0	0.08038	0.00925	0.0	0.0	0.0	0.01139	0.01555	0.0	0.0	0.0061	0.0	0.0	0.0	0.0	0.01239	0.0	0.0	0.0	0.00379	0.0	0.0	0.00986	0.0	0.0	0.0	0.0	0.04049	0.05117	0.0	0.0	0.01168	0.0	0.02112	0.0	0.03743	0.01282	0.0	0.03062	0.0	0.01413	0.0	0.0	0.07172	0.00857
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	0.02669	4.99076	0.24602	0.01171	0.07966	2.94054	1.20248	0.07418	1.95992	0.82206	6.68634	4.77763	3.68742	3.9898	0.95327	0.81994	1.76215	3.80671	4.367	1.28434	1.19074	13.71323	1.12997	6.28807	1.6569	0.86418	0.80112	1.86141	0.96401	0.16203	11.73123	11.69117	0.46964	0.75238	0.77635	3.05343	1.51046	5.09866	4.95736	2.98189	1.48249	1.56614	6.31625	6.32634	1.8718	1.79865	1.39489	1.45352	2.93358	2.91404	3.62334	3.71922	0.94524	5.0934	5.20832	2.36217	2.1493	0.94353	0.94943	0.71629	6.34468	1.81828
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified	0.01823	3.96713	0.18316	0.01171	0.05762	2.41245	0.82832	0.04175	1.39891	0.66709	5.26873	3.74933	2.12697	3.14979	0.75455	0.68543	1.0444	2.98465	3.60351	0.99652	0.97234	9.76586	0.69908	4.96012	1.28413	0.66952	0.53112	1.54444	0.75411	0.13137	7.71831	7.91435	0.34061	0.58446	0.6156	2.2299	1.16814	4.15418	3.85269	2.3782	1.15401	1.22414	5.10624	5.11117	1.42422	1.43697	1.08045	1.10621	2.25853	2.16822	2.81482	2.97262	0.76767	4.23494	4.26455	1.76735	1.62003	0.72963	0.73059	0.4636	5.10375	1.35245
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	0.00846	1.02363	0.06286	0.0	0.02204	0.52809	0.37416	0.03242	0.56101	0.15497	1.41761	1.0283	1.56045	0.84	0.19873	0.13451	0.71775	0.82205	0.76348	0.28782	0.2184	3.94737	0.43089	1.32795	0.37276	0.19467	0.27	0.31697	0.2099	0.03066	4.01292	3.77682	0.12903	0.16791	0.16074	0.82353	0.34232	0.94448	1.10467	0.6037	0.32847	0.34199	1.21001	1.21517	0.44758	0.36168	0.31445	0.34731	0.67505	0.74582	0.80852	0.7466	0.17757	0.85846	0.94377	0.59482	0.52927	0.2139	0.21884	0.2527	1.24092	0.46583
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila|t__GCF_000205165	0.00846	1.02363	0.06286	0.0	0.02204	0.52809	0.37416	0.03242	0.56101	0.15497	1.41761	1.0283	1.56045	0.84	0.19873	0.13451	0.71775	0.82205	0.76348	0.28782	0.2184	3.94737	0.43089	1.32795	0.37276	0.19467	0.27	0.31697	0.2099	0.03066	4.01292	3.77682	0.12903	0.16791	0.16074	0.82353	0.34232	0.94448	1.10467	0.6037	0.32847	0.34199	1.21001	1.21517	0.44758	0.36168	0.31445	0.34731	0.67505	0.74582	0.80852	0.7466	0.17757	0.85846	0.94377	0.59482	0.52927	0.2139	0.21884	0.2527	1.24092	0.46583
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	83.46708	0.00178	0.0	0.0	78.78902	0.00262	0.00285	0.02645	82.42227	0.0	0.00851	48.6987	19.68507	0.02103	0.01392	0.0	29.18498	68.39586	0.05008	0.0	0.0	30.38236	77.60389	0.45512	0.02671	83.40622	76.22815	0.07174	0.02797	80.6602	34.97218	36.80697	0.0	0.0	0.0	19.77424	0.01006	0.0	0.0	0.0	1.94168	2.1056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	83.46708	0.00178	0.0	0.0	78.78902	0.00262	0.00285	0.02645	82.42227	0.0	0.00851	48.6987	19.68507	0.02103	0.01392	0.0	29.18498	68.39586	0.05008	0.0	0.0	30.38236	77.60389	0.45512	0.02671	83.40622	76.22815	0.07174	0.02797	80.6602	34.97218	36.80697	0.0	0.0	0.0	19.77424	0.01006	0.0	0.0	0.0	1.94168	2.1056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri|t__GCF_000157935	83.46708	0.00178	0.0	0.0	78.78902	0.00262	0.00285	0.02645	82.42227	0.0	0.00851	48.6987	19.68507	0.02103	0.01392	0.0	29.18498	68.39586	0.05008	0.0	0.0	30.38236	77.60389	0.45512	0.02671	83.40622	76.22815	0.07174	0.02797	80.6602	34.97218	36.80697	0.0	0.0	0.0	19.77424	0.01006	0.0	0.0	0.0	1.94168	2.1056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.0	1.76475	0.03555	0.0	0.0	0.03674	0.77553	0.0	0.03084	2.63384	2.1914	1.09342	11.68609	2.21702	2.01588	1.17538	2.53563	1.13966	0.41592	5.23325	5.06551	6.52698	0.24558	0.0	0.0	0.01963	0.03898	0.0	0.54777	0.02437	4.68188	4.18325	0.16982	8.36773	7.31784	0.96899	0.0	0.0	0.0	0.04283	0.01649	0.01063	0.0	0.0	0.0	0.0	0.28569	0.29986	0.0	0.0	2.83412	1.722	1.01322	0.13472	0.1442	1.03665	1.03875	0.04005	0.03711	1.50255	4.93217	0.96708
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.0	1.76475	0.03555	0.0	0.0	0.03674	0.77553	0.0	0.03084	2.63384	2.1914	1.09342	11.68609	2.21702	2.01588	1.17538	2.53563	1.13966	0.41592	5.23325	5.06551	6.52698	0.24558	0.0	0.0	0.01963	0.03898	0.0	0.54777	0.02437	4.68188	4.18325	0.16982	8.36773	7.31784	0.96899	0.0	0.0	0.0	0.04283	0.01649	0.01063	0.0	0.0	0.0	0.0	0.28569	0.29986	0.0	0.0	2.83412	1.722	1.01322	0.13472	0.1442	1.03665	1.03875	0.04005	0.03711	1.50255	4.93217	0.96708
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0.0	0.28936	0.0	0.0	0.0	0.03374	0.73943	0.0	0.001	0.0	0.0	0.23768	6.90542	0.0	0.0	0.0	1.07398	0.50349	0.0	0.0	0.0	1.2833	0.02633	0.0	0.0	0.00458	0.0	0.0	0.0	0.02039	1.22487	1.14553	0.0	0.11341	0.06852	0.4744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17745	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus|t__GCF_000231275	0.0	0.28936	0.0	0.0	0.0	0.03374	0.73943	0.0	0.001	0.0	0.0	0.23768	6.90542	0.0	0.0	0.0	1.07398	0.50349	0.0	0.0	0.0	1.2833	0.02633	0.0	0.0	0.00458	0.0	0.0	0.0	0.02039	1.22487	1.14553	0.0	0.11341	0.06852	0.4744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17745	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03581	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii|t__GCF_000374505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03581	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0.0	1.47539	0.03555	0.0	0.0	0.003	0.02335	0.0	0.0	1.58849	2.14728	0.12866	1.08827	0.75816	0.96278	0.90879	0.15379	0.2059	0.41592	2.68422	2.78523	1.53849	0.02301	0.0	0.0	0.00381	0.02503	0.0	0.29053	0.00398	0.4187	0.43722	0.10437	2.32589	2.10205	0.10798	0.0	0.0	0.0	0.03153	0.01649	0.0	0.0	0.0	0.0	0.0	0.28569	0.29986	0.0	0.0	1.55664	1.16479	0.63255	0.13472	0.1442	1.03665	1.03875	0.04005	0.03711	0.2341	2.34724	0.94245
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465	0.0	1.47539	0.03555	0.0	0.0	0.003	0.02335	0.0	0.0	1.58849	2.14728	0.12866	1.08827	0.75816	0.96278	0.90879	0.15379	0.2059	0.41592	2.68422	2.78523	1.53849	0.02301	0.0	0.0	0.00381	0.02503	0.0	0.29053	0.00398	0.4187	0.43722	0.10437	2.32589	2.10205	0.10798	0.0	0.0	0.0	0.03153	0.01649	0.0	0.0	0.0	0.0	0.0	0.28569	0.29986	0.0	0.0	1.55664	1.16479	0.63255	0.13472	0.1442	1.03665	1.03875	0.04005	0.03711	0.2341	2.34724	0.94245
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis	0.0	0.0	0.0	0.0	0.0	0.0	0.01275	0.0	0.0	0.0	0.0	0.0	0.0	0.00114	0.00492	0.01045	0.0	0.0	0.0	0.03041	0.0238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07551	0.05957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05519	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis|t__GCF_000312145	0.0	0.0	0.0	0.0	0.0	0.0	0.01275	0.0	0.0	0.0	0.0	0.0	0.0	0.00114	0.00492	0.01045	0.0	0.0	0.0	0.03041	0.0238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07551	0.05957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05519	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02983	0.02205	0.04413	0.72709	3.6924	0.81506	0.356	0.25614	1.30786	0.43027	0.0	1.47001	1.32295	3.70519	0.19624	0.0	0.0	0.01125	0.01395	0.0	0.007	0.0	3.03831	2.60049	0.06545	1.4385	1.31254	0.3866	0.0	0.0	0.0	0.0113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67257	0.55721	0.38068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02462
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__GCF_000210575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02983	0.02205	0.04413	0.72709	3.6924	0.81506	0.356	0.25614	1.30786	0.43027	0.0	1.47001	1.32295	3.70519	0.19624	0.0	0.0	0.01125	0.01395	0.0	0.007	0.0	3.03831	2.60049	0.06545	1.4385	1.31254	0.3866	0.0	0.0	0.0	0.0113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67257	0.55721	0.38068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02462
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AP11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0233	0.0	0.0	0.0	0.48032	0.69217	0.0	0.0	0.0	0.0	1.04861	0.93353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25024	0.0	0.0	0.0	0.0	4.41044	3.77517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.58493	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AP11|t__GCF_000321205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0233	0.0	0.0	0.0	0.48032	0.69217	0.0	0.0	0.0	0.0	1.04861	0.93353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25024	0.0	0.0	0.0	0.0	4.41044	3.77517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.58493	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	2.42052	22.51765	15.46614	6.05139	2.05346	12.89078	14.36624	10.19518	3.10212	8.88628	19.1393	3.79129	6.20415	13.48708	5.87515	6.0093	10.11465	2.06328	11.53992	6.99153	6.96417	3.75518	10.26561	20.0782	8.73016	2.6007	9.82731	6.84108	6.62899	3.8521	1.98352	1.68968	11.70815	16.63129	15.23042	49.07956	7.1608	20.068	18.94938	9.80423	8.93918	9.27717	18.57765	18.89143	12.52466	15.39883	6.52067	8.42416	24.58354	28.14116	17.21806	23.65875	11.75373	16.26793	16.68824	8.69331	11.0871	10.55316	10.35849	15.22676	29.21153	23.05573
k__Bacteria|p__Firmicutes|c__Bacilli	1.43622	0.0	1.88423	0.17894	0.09787	0.0	6.8552	0.0	2.77756	0.41306	6.65306	1.49821	4.16031	8.49835	0.01818	0.00137	9.02515	1.37074	0.0	0.01594	0.21653	0.94695	9.76903	1.88005	0.05951	1.12758	5.76059	0.71671	2.55764	0.16509	0.68234	0.3936	0.45743	7.07675	7.26173	47.48678	0.13504	0.78801	0.75324	0.00162	0.06968	0.03528	0.25634	0.2761	1.84523	1.64346	0.14737	0.11203	0.0	0.0	0.02316	0.0	6.1392	0.03133	0.00156	0.0	0.0	0.67805	0.85011	0.14982	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78801	0.75324	0.0	0.00797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00586	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78801	0.75324	0.0	0.00797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00586	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78801	0.75324	0.0	0.00797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00586	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00586	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis|t__Staphylococcus_epidermidis_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00586	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_pseudintermedius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78801	0.75324	0.0	0.00797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_pseudintermedius|t__Staphylococcus_pseudintermedius_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78801	0.75324	0.0	0.00797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.43622	0.0	1.88423	0.17894	0.09787	0.0	6.8552	0.0	2.77756	0.41306	6.65306	1.49821	4.16031	8.49835	0.01818	0.00137	9.02515	1.37074	0.0	0.01594	0.21653	0.94695	9.76903	1.88005	0.05951	1.12758	5.76059	0.71671	2.55764	0.16509	0.68234	0.3936	0.45743	7.07675	7.26173	47.48678	0.13504	0.0	0.0	0.00162	0.0617	0.03528	0.25634	0.2761	1.84523	1.64346	0.14737	0.11203	0.0	0.0	0.02316	0.0	6.1392	0.03133	0.00156	0.0	0.0	0.67219	0.85011	0.14982	0.0	0.0
