ID	reERR3589553_taxonomic_profile	reERR3589554_taxonomic_profile	reERR3589555_taxonomic_profile	reERR3589556_taxonomic_profile	reERR3589557_taxonomic_profile	reERR3589558_taxonomic_profile	reERR3589559_taxonomic_profile	reERR3589560_taxonomic_profile	reERR3589561_taxonomic_profile	reERR3589562_taxonomic_profile	reERR3589563_taxonomic_profile	reERR3589564_taxonomic_profile	reERR3589565_taxonomic_profile	reERR3589566_taxonomic_profile	reERR3589567_taxonomic_profile	reERR3589568_taxonomic_profile	reERR3589569_taxonomic_profile	reERR3589570_taxonomic_profile	reERR3589571_taxonomic_profile	reERR3589572_taxonomic_profile	reERR3589573_taxonomic_profile	reERR3589574_taxonomic_profile	reERR3589575_taxonomic_profile	reERR3589576_taxonomic_profile	reERR3589577_taxonomic_profile	reERR3589578_taxonomic_profile	reERR3589579_taxonomic_profile	reERR3589580_taxonomic_profile	reERR3589581_taxonomic_profile	reERR3589582_taxonomic_profile	reERR3589583_taxonomic_profile	reERR3589584_taxonomic_profile	reERR3589585_taxonomic_profile	reERR3589586_taxonomic_profile	reERR3589587_taxonomic_profile	reERR3589588_taxonomic_profile	reERR3589589_taxonomic_profile	reERR3589590_taxonomic_profile	reERR3589591_taxonomic_profile	reERR3589592_taxonomic_profile	reERR3589593_taxonomic_profile
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Leeuwenhoekiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.00037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00206	0.00116	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.00408
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Leeuwenhoekiella|s__Leeuwenhoekiella_blandensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.00037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00206	0.00116	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.00408
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Leeuwenhoekiella|s__Leeuwenhoekiella_blandensis|t__GCF_000152985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.00037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00206	0.00116	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.00408
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides	0.0073	0.003	0.00092	0.00034	0.00044	0.004	0.01323	0.00031	0.0	0.0	0.0	0.00389	0.00207	0.0179	0.0	0.00164	0.00557	0.0	0.00161	0.0	0.00154	0.0	0.00016	0.00056	0.00067	0.0	0.00054	0.00425	0.00598	0.00048	0.00351	0.0	0.0	0.01015	0.00047	0.00158	0.0	0.01281	0.00429	0.00937	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides|s__Myroides_unclassified	0.0073	0.003	0.00092	0.00034	0.00044	0.004	0.01323	0.00031	0.0	0.0	0.0	0.00389	0.00207	0.0179	0.0	0.00164	0.00557	0.0	0.00161	0.0	0.00154	0.0	0.00016	0.00056	0.00067	0.0	0.00054	0.00425	0.00598	0.00048	0.00351	0.0	0.0	0.01015	0.00047	0.00158	0.0	0.01281	0.00429	0.00937	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Polaribacter	0.60441	0.56399	0.20264	0.12068	0.17191	0.94216	0.78286	0.02254	0.12587	0.00684	0.00094	0.02913	0.5644	1.01027	0.11277	0.26682	0.17502	0.00462	0.23116	0.53603	0.0357	0.05251	0.01547	0.05919	1.11856	0.06851	0.49272	0.17183	0.2969	0.00185	0.0	0.0	0.00745	1.4421	0.15632	0.19853	0.40918	0.74307	0.0	0.06143	0.01262
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Polaribacter|s__Polaribacter_franzmannii	0.01879	0.10764	0.00256	0.01717	0.00616	0.12295	0.01609	0.00034	0.0002	0.0	0.0	0.0	0.0	0.009	0.00875	0.0005	0.00615	0.0001	0.08514	0.04201	0.00366	0.00286	0.0	9e-05	0.02316	0.00213	0.1248	0.01387	0.01027	0.0	0.0	0.0	0.0	0.0007	0.0	0.0	0.01552	0.00182	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Polaribacter|s__Polaribacter_franzmannii|t__GCF_000377865	0.01879	0.10764	0.00256	0.01717	0.00616	0.12295	0.01609	0.00034	0.0002	0.0	0.0	0.0	0.0	0.009	0.00875	0.0005	0.00615	0.0001	0.08514	0.04201	0.00366	0.00286	0.0	9e-05	0.02316	0.00213	0.1248	0.01387	0.01027	0.0	0.0	0.0	0.0	0.0007	0.0	0.0	0.01552	0.00182	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Polaribacter|s__Polaribacter_irgensii	0.06192	0.0	0.01216	0.0	0.01692	0.0	0.05078	0.00195	0.00818	0.0	0.0	0.0	0.05513	0.11851	0.00366	0.00642	0.00926	0.0	0.0	0.0	0.00088	0.00695	0.0	0.00414	0.0	0.00701	0.0	0.01187	0.01918	0.0	0.0	0.0	0.0	0.08778	0.01667	0.01153	0.02945	0.03521	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Polaribacter|s__Polaribacter_irgensii|t__GCF_000153225	0.06192	0.0	0.01216	0.0	0.01692	0.0	0.05078	0.00195	0.00818	0.0	0.0	0.0	0.05513	0.11851	0.00366	0.00642	0.00926	0.0	0.0	0.0	0.00088	0.00695	0.0	0.00414	0.0	0.00701	0.0	0.01187	0.01918	0.0	0.0	0.0	0.0	0.08778	0.01667	0.01153	0.02945	0.03521	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Polaribacter|s__Polaribacter_unclassified	0.5237	0.45635	0.18792	0.10351	0.14883	0.81921	0.71599	0.02026	0.11749	0.00684	0.00094	0.02913	0.50927	0.88276	0.10036	0.2599	0.15962	0.00452	0.14601	0.49402	0.03116	0.0427	0.01547	0.05495	1.0954	0.05938	0.36792	0.14608	0.26744	0.00185	0.0	0.0	0.00745	1.35363	0.13966	0.187	0.36421	0.70604	0.0	0.06143	0.01262
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus	0.0	0.0	0.0	0.00116	0.0	0.00014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus|s__Psychroflexus_torquis	0.0	0.0	0.0	0.0002	0.0	0.00014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus|s__Psychroflexus_torquis|t__GCF_000153485	0.0	0.0	0.0	0.0002	0.0	0.00014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus|s__Psychroflexus_unclassified	0.0	0.0	0.0	0.00096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Riemerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00395	0.0	0.0	0.0	0.0	0.0	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00148	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Riemerella|s__Riemerella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00395	0.0	0.0	0.0	0.0	0.0	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00148	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Zunongwangia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00744	0.00347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00876
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Zunongwangia|s__Zunongwangia_profunda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00744	0.00347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00876
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Zunongwangia|s__Zunongwangia_profunda|t__GCF_000023465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00744	0.00347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00876
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriales_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriales_noname|g__Candidatus_Sulcia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriales_noname|g__Candidatus_Sulcia|s__Candidatus_Sulcia_muelleri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriales_noname|g__Candidatus_Sulcia|s__Candidatus_Sulcia_muelleri|t__Candidatus_Sulcia_muelleri_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriia_noname	0.03742	0.07593	0.38482	0.26454	1.37191	0.05402	0.06698	0.03864	0.32929	0.11416	0.00481	0.00629	0.24636	0.07411	0.0009	17.4957	0.02283	0.00026	0.0264	0.04077	0.00906	0.00879	1.67275	1.02825	0.02523	0.06815	0.04995	0.73198	0.74628	0.06047	0.0	0.0	8e-05	0.0504	1.36293	2.45651	0.0207	0.37517	0.0	0.00703	0.00181
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriia_noname|f__Flavobacteriia_noname	0.03742	0.07593	0.38482	0.26454	1.37191	0.05402	0.06698	0.03864	0.32929	0.11416	0.00481	0.00629	0.24636	0.07411	0.0009	17.4957	0.02283	0.00026	0.0264	0.04077	0.00906	0.00879	1.67275	1.02825	0.02523	0.06815	0.04995	0.73198	0.74628	0.06047	0.0	0.0	8e-05	0.0504	1.36293	2.45651	0.0207	0.37517	0.0	0.00703	0.00181
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriia_noname|f__Flavobacteriia_noname|g__Flavobacteriia_noname	0.03742	0.07593	0.38482	0.26454	1.37191	0.05402	0.06698	0.03864	0.32929	0.11416	0.00481	0.00629	0.24636	0.07411	0.0009	17.4957	0.02283	0.00026	0.0264	0.04077	0.00906	0.00879	1.67275	1.02825	0.02523	0.06815	0.04995	0.73198	0.74628	0.06047	0.0	0.0	8e-05	0.0504	1.36293	2.45651	0.0207	0.37517	0.0	0.00703	0.00181
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriia_noname|f__Flavobacteriia_noname|g__Flavobacteriia_noname|s__Flavobacteria_bacterium_MS024_2A	0.02219	0.06693	0.0371	0.01664	0.163	0.01182	0.0317	0.01718	0.15087	0.02397	0.00481	0.00629	0.09769	0.03297	0.0009	3.94988	0.01824	0.00026	0.01447	0.01163	0.00875	0.00701	0.45427	0.11119	0.01018	0.05252	0.04513	0.15113	0.01814	0.04309	0.0	0.0	8e-05	0.00613	0.07151	0.09277	0.00836	0.01628	0.0	0.00703	0.00181
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriia_noname|f__Flavobacteriia_noname|g__Flavobacteriia_noname|s__Flavobacteria_bacterium_MS024_2A|t__GCF_000173095	0.02219	0.06693	0.0371	0.01664	0.163	0.01182	0.0317	0.01718	0.15087	0.02397	0.00481	0.00629	0.09769	0.03297	0.0009	3.94988	0.01824	0.00026	0.01447	0.01163	0.00875	0.00701	0.45427	0.11119	0.01018	0.05252	0.04513	0.15113	0.01814	0.04309	0.0	0.0	8e-05	0.00613	0.07151	0.09277	0.00836	0.01628	0.0	0.00703	0.00181
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriia_noname|f__Flavobacteriia_noname|g__Flavobacteriia_noname|s__Flavobacteria_bacterium_MS024_3C	0.01524	0.009	0.34771	0.2479	1.20891	0.0422	0.03527	0.02146	0.17842	0.09018	0.0	0.0	0.14867	0.04115	0.0	13.54582	0.00459	0.0	0.01193	0.02914	0.00031	0.00178	1.21848	0.91705	0.01504	0.01563	0.00483	0.58085	0.72814	0.01738	0.0	0.0	0.0	0.04427	1.29142	2.36373	0.01234	0.35889	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriia_noname|f__Flavobacteriia_noname|g__Flavobacteriia_noname|s__Flavobacteria_bacterium_MS024_3C|t__GCF_000173115	0.01524	0.009	0.34771	0.2479	1.20891	0.0422	0.03527	0.02146	0.17842	0.09018	0.0	0.0	0.14867	0.04115	0.0	13.54582	0.00459	0.0	0.01193	0.02914	0.00031	0.00178	1.21848	0.91705	0.01504	0.01563	0.00483	0.58085	0.72814	0.01738	0.0	0.0	0.0	0.04427	1.29142	2.36373	0.01234	0.35889	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.0	0.0	0.0	0.0	0.0	0.00097	0.0	0.0047	0.0	0.0	0.0	0.0	0.0	0.00427	0.0	0.0	0.0	0.0	0.0	0.01258	0.00392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00245	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00122	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.0	0.0	0.0	0.0	0.0	0.00097	0.0	0.0047	0.0	0.0	0.0	0.0	0.0	0.00427	0.0	0.0	0.0	0.0	0.0	0.01258	0.00392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00245	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00122	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Saprospiraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Saprospiraceae|g__Lewinella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Saprospiraceae|g__Lewinella|s__Lewinella_cohaerens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Saprospiraceae|g__Lewinella|s__Lewinella_cohaerens|t__GCF_000379805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.00097	0.0	0.0047	0.0	0.0	0.0	0.0	0.0	0.00427	0.0	0.0	0.0	0.0	0.0	0.01258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00245	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00122	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047	0.0	0.0	0.0	0.0	0.0	0.00427	0.0	0.0	0.0	0.0	0.0	0.01258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00245	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047	0.0	0.0	0.0	0.0	0.0	0.00427	0.0	0.0	0.0	0.0	0.0	0.01258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00245	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium	0.0	0.0	0.0	0.0	0.0	0.00097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00122	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_unclassified	0.0	0.0	0.0	0.0	0.0	0.00097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00122	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.01319	0.0	0.0	0.0	0.05483	0.0	0.0	0.13661	0.0	0.0	0.00205	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39153	0.04751	0.00048	0.0	0.0	0.00081	0.0	0.0	0.0	0.06222
k__Bacteria|p__Chloroflexi|c__Chloroflexi_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.01319	0.0	0.0	0.0	0.05483	0.0	0.0	0.13661	0.0	0.0	0.00205	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39153	0.04751	0.00048	0.0	0.0	0.00081	0.0	0.0	0.0	0.06222
k__Bacteria|p__Chloroflexi|c__Chloroflexi_noname|o__Chloroflexi_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.01319	0.0	0.0	0.0	0.05483	0.0	0.0	0.13661	0.0	0.0	0.00205	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39153	0.04751	0.00048	0.0	0.0	0.00081	0.0	0.0	0.0	0.06222
k__Bacteria|p__Chloroflexi|c__Chloroflexi_noname|o__Chloroflexi_noname|f__Chloroflexi_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.01319	0.0	0.0	0.0	0.05483	0.0	0.0	0.13661	0.0	0.0	0.00205	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39153	0.04751	0.00048	0.0	0.0	0.00081	0.0	0.0	0.0	0.06222
k__Bacteria|p__Chloroflexi|c__Chloroflexi_noname|o__Chloroflexi_noname|f__Chloroflexi_noname|g__Chloroflexi_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.01319	0.0	0.0	0.0	0.05483	0.0	0.0	0.13661	0.0	0.0	0.00205	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39153	0.04751	0.00048	0.0	0.0	0.00081	0.0	0.0	0.0	0.06222
k__Bacteria|p__Chloroflexi|c__Chloroflexi_noname|o__Chloroflexi_noname|f__Chloroflexi_noname|g__Chloroflexi_noname|s__SAR202_cluster_bacterium_SCGC_AAA240_N13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.01319	0.0	0.0	0.0	0.05483	0.0	0.0	0.13661	0.0	0.0	0.00205	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39153	0.04751	0.00048	0.0	0.0	0.00081	0.0	0.0	0.0	0.06222
k__Bacteria|p__Chloroflexi|c__Chloroflexi_noname|o__Chloroflexi_noname|f__Chloroflexi_noname|g__Chloroflexi_noname|s__SAR202_cluster_bacterium_SCGC_AAA240_N13|t__GCF_000372165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.01319	0.0	0.0	0.0	0.05483	0.0	0.0	0.13661	0.0	0.0	0.00205	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39153	0.04751	0.00048	0.0	0.0	0.00081	0.0	0.0	0.0	0.06222
k__Bacteria|p__Cyanobacteria	0.0	0.0	0.0	0.0	0.00922	0.0	0.0	0.00114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.75967	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	2.03226	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname	0.0	0.0	0.0	0.0	0.00922	0.0	0.0	0.00114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.75967	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	2.03226	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Chroococcales	0.0	0.0	0.0	0.0	0.00922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.75967	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	2.03226	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Chroococcales|f__Chroococcales_noname	0.0	0.0	0.0	0.0	0.00922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.75967	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	2.03226	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Chroococcales|f__Chroococcales_noname|g__Cyanobium	0.0	0.0	0.0	0.0	0.00922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
