X.mOTUs2_clade	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter species incertae sedis [ext_mOTU_v3_15378]	0.0001438871	0	0	0.0018580843	0.000649306	0.0102837654	0.0022904307	0	0	0	0	0.0007774732	0	0.0024656412	0.004210776	0.0036690456
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.0003913746	0	0	0	0	0	0	0	0	0.0001892062	0	0	5.3024e-05	9.32366e-05	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0.0003913746	0	0	0	0	0	0	0	0	0.0001892062	0	0	5.3024e-05	9.32366e-05	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas bennonis	0	0	0	0	0	0	0	0	0	9.90476e-05	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas species incertae sedis [ext_mOTU_v3_18256]	0.0003913746	0	0	0	0	0	0	0	0	9.01586e-05	0	0	5.3024e-05	9.32366e-05	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.2656396208	0.2057582476	0.1569115901	0.217539693	0.1277813434	0.1642245356	0.3424738632	0.0598804163	0.0021874223	0.4753419767	0.5944510329	0.4866538819	4.93428e-05	0.178718378	0.2391695017	0.0856446998
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	0	0	0	0	0	0.0001947974	0	0.0006401513	0	0	0	0.0008642141	0	0.0004661477	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella xylaniphila	0	0	0	0	0	0.0001947974	0	0.0006401513	0	0	0	0.0008642141	0	0.0004661477	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.2656396208	0.2057582476	0.1569115901	0.217539693	0.1277813434	0.1640297382	0.3424738632	0.059240265	0.0021874223	0.4753419767	0.5944510329	0.4857896678	4.93428e-05	0.1782522303	0.2391695017	0.0856446998
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri	0.2391834448	0.2043365146	0.1366413723	0.1907889963	0.1074437741	0.0726683946	0.2580447723	0.0576497376	0.0019251884	0.3824320117	0.5944510329	0.4018087069	0	0.1344487292	0.2021130356	0.0380590571
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella lascolaii	0	0	4.84873e-05	0.0026117552	0.0004160519	0.0083453957	0.0008405804	0	0	0	0	0.0008695458	0	0	0	0.0003975544
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella sp. CAG:474	0	0	0	0	0	0.0060602971	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella sp. CAG:891	0.02294217	2.84676e-05	0	0.0089881524	4.676e-05	0.0166593946	0.0360269859	0.0006223172	0	0.0653933523	0	0.0554103408	0	0.0409404133	0	8.5366e-06
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [ext_mOTU_v3_15334]	0	0	0	0	2.22958e-05	0	0	0	0	0	0	0	0	0	2.06038e-05	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [ext_mOTU_v3_15402]	0	0	6.06549e-05	5.30296e-05	3.3334e-05	0	0	0	0	0	0	0	0	0	3.1663e-05	1.93799e-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [ext_mOTU_v3_15418]	0	0	0	0.0053277824	2.84901e-05	0.0521958988	0.0261086506	8.00189e-05	0	0	0	0.0033987261	0	0	2.2136e-05	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [ext_mOTU_v3_17623]	0	0	0.0002355635	4.15641e-05	0.000100619	0	0	0	0	0	0	2.95827e-05	0	0	0.0002840224	0.0002774477
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [ext_mOTU_v3_17625]	0	0	0.0003049742	0.0001642109	0.0002389442	0	0.0002105473	0	0	0.0003543117	0	0.0002830538	0	0	0.0005218998	0.000465424
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [ext_mOTU_v3_18183]	0	0	0	0	0	0	0	0	0	0	0	0	0	7.78152e-05	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [ext_mOTU_v3_18246]	0	0	0	0	0	0	0	0	0	0	0	0	4.93428e-05	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [meta_mOTU_v3_12332]	0.0002175944	0	0.0196205379	0.0095442798	0.0194065723	0.0081003574	0.0212423266	0.0008881914	0	0.0259598685	0	0.0220671134	0	0	0.036176141	0.0464173001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [meta_mOTU_v3_12507]	0	0	0	1.99223e-05	4.4502e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [meta_mOTU_v3_12649]	0.0028706746	0.0013409591	0	0	0	0	0	0	0.0002622338	0.0012024325	0	0.0017071018	0	0.0026187725	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [meta_mOTU_v3_13190]	0.000425737	5.23063e-05	0	0	0	0	0	0	0	0	0	0.0002154965	0	0.0001665001	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	7.12067e-05	0	6.82196e-05	0.0002107792	4.05358e-05	0.0049192591	0.0006847158	0.0001335463	3.50783e-05	0	4.79997e-05	0.0015020372	0	0.0008387163	0.0008906591	0.0037833144
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	7.12067e-05	0	6.82196e-05	0.0002107792	4.05358e-05	0.0049192591	0.0006847158	0.0001335463	3.50783e-05	0	4.79997e-05	0.0015020372	0	0.0008387163	0.0008906591	0.0037833144
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes ihumii	0	0	0	0	0	0	0.0001819259	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes obesi	0	0	0	0	0	0.0003033259	0	0	0	0	0	0.000517551	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes putredinis	0	0	0	0	4.05358e-05	0.0008643535	4.51291e-05	0	0	0	0	0.0002630459	0	0	0	0.0027727709
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes senegalensis	0	0	0	0	0	6.76125e-05	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes shahii	0	0	0	0	0	0	2.4351e-05	0	0	0	0	5.79949e-05	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes sp. CAG:435	7.12067e-05	0	0	0	0	0	0	0	3.50783e-05	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes sp. CAG:514	0	0	0	0	0	0	0	0	0	0	4.79997e-05	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes sp. CHKCI003	0	0	6.82196e-05	1.01084e-05	0	4.60369e-05	8.82054e-05	0.0001335463	0	0	0	0	0	0	1.51648e-05	2.60544e-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes species incertae sedis [meta_mOTU_v3_12829]	0	0	0	0.0002006708	0	0.0036379303	0.0003451045	0	0	0	0	0.0006634455	0	0.0008387163	0.0008754944	0.0009844891
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.0001460708	0	7.18998e-05	0.0006941202	0.0007796161	0.0016802195	0.0023674781	2.98651e-05	0.0029524346	0.0005268462	0	0.0005640154	0	0.0004850562	0.0023886239	0.0033489419
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	0.0001460708	0	7.18998e-05	0.0006941202	0.0007796161	0.0016802195	0.0023674781	2.98651e-05	0.0029524346	0.0005268462	0	0.0005640154	0	0.0004850562	0.0023886239	0.0033489419
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis	0	0	0	0	0	0.0001264751	0	0	0	0	0	0	0	0	7.26067e-05	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides johnsonii	0	0	3.10237e-05	0	0	3.89507e-05	0	2.98651e-05	0	0	0	0	0	0	0	1.69803e-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae	0.0001460708	0	4.08761e-05	0.0006941202	0.0007796161	0.0015147937	0.0023674781	0	0.0029524346	0.0005268462	0	0.0005640154	0	0.0004850562	0.002295344	0.0033319616
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides species incertae sedis [ext_mOTU_v3_15364]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06732e-05	0
k__Bacteria|p__Chloroflexi	7.12067e-05	6.20612e-05	0	0	0	0	0	0	3.50783e-05	0	8.90459e-05	0	0.0001013738	7.52777e-05	0	0
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	7.12067e-05	6.20612e-05	0	0	0	0	0	0	3.50783e-05	0	8.90459e-05	0	0.0001013738	7.52777e-05	0	0
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	7.12067e-05	6.20612e-05	0	0	0	0	0	0	3.50783e-05	0	8.90459e-05	0	0.0001013738	7.52777e-05	0	0
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales|f__Dehalococcoidales fam. incertae sedis	7.12067e-05	6.20612e-05	0	0	0	0	0	0	3.50783e-05	0	8.90459e-05	0	0.0001013738	7.52777e-05	0	0
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales|f__Dehalococcoidales fam. incertae sedis|g__Dehalococcoidales gen. incertae sedis	7.12067e-05	6.20612e-05	0	0	0	0	0	0	3.50783e-05	0	8.90459e-05	0	0.0001013738	7.52777e-05	0	0
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales|f__Dehalococcoidales fam. incertae sedis|g__Dehalococcoidales gen. incertae sedis|s__Dehalococcoidales species incertae sedis [meta_mOTU_v3_12232]	0	6.20612e-05	0	0	0	0	0	0	0	0	6.90649e-05	0	0.0001013738	7.52777e-05	0	0
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales|f__Dehalococcoidales fam. incertae sedis|g__Dehalococcoidales gen. incertae sedis|s__Dehalococcoidales species incertae sedis [meta_mOTU_v3_12342]	7.12067e-05	0	0	0	0	0	0	0	3.50783e-05	0	1.9981e-05	0	0	0	0	0
k__Bacteria|p__Firmicutes	0.273317933	0.3052258621	0.5173794903	0.5007107714	0.4731145873	0.4629543227	0.3305268284	0.2956402009	0.4551333164	0.3255593902	0.2243230289	0.1948094358	0.2188438708	0.3817417807	0.4817106135	0.6685140572
k__Bacteria|p__Firmicutes|c__Bacilli	0.0004869024	0.0006271981	0.0361258339	0.01509489	0.0025050476	7.2903e-05	0.0001367473	0.0001828421	0.0006417504	0.000300079	0.0003590993	5.50399e-05	0.0001495491	0.0003424795	0.0004858716	0.0002867865
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0004869024	0.0006271981	0.0361258339	0.01509489	0.0025050476	7.2903e-05	0.0001367473	0.0001828421	0.0006417504	0.000300079	0.0003590993	5.50399e-05	0.0001495491	0.0003424795	0.0004858716	0.0002867865
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.0004869024	0.0003617293	0.0001295521	9.03961e-05	0.0001288225	7.2903e-05	0	0	5.85262e-05	0.0001174577	2.86861e-05	0	9.24717e-05	0.0002395654	5.95016e-05	0.0001300501
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.0004869024	0.0003617293	0.0001295521	9.03961e-05	0.0001288225	7.2903e-05	0	0	5.85262e-05	0.0001174577	2.86861e-05	0	9.24717e-05	0.0002395654	5.95016e-05	0.0001300501
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus cecorum	8.9457e-05	0.0002732352	8.64506e-05	9.03961e-05	0.0001288225	7.2903e-05	0	0	0	7.89498e-05	0	0	0	0.0002395654	5.95016e-05	0.0001300501
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus faecalis	8.49209e-05	3.30314e-05	4.31015e-05	0	0	0	0	0	5.85262e-05	3.85079e-05	2.86861e-05	0	3.3404e-05	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus raffinosus	0.0003125245	5.54627e-05	0	0	0	0	0	0	0	0	0	0	5.90677e-05	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0	0.000205245	0.0354678382	0.0140244295	0.000617276	0	0	0	0.0003937193	0.0001826212	0.000167428	5.50399e-05	5.70774e-05	2.331e-05	0.0001540554	0.0001391898
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0	0.000205245	0.0353119583	0.0140244295	0.0005624278	0	0	0	0.0003937193	0.0001826212	0.000167428	5.50399e-05	5.70774e-05	2.331e-05	0.0001232581	0.0001181839
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus acidophilus	0	0	0.0070088472	0	0	0	0	0	0	0	0	0	0	0	1.25502e-05	4.13765e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus amylovorus/kitasatonis	0	2.01893e-05	0	3.4514e-05	0.000151889	0	0	0	0	9.17336e-05	5.82933e-05	3.46359e-05	2.64116e-05	0	1.23222e-05	1.76164e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus animalis/murinus	0	0	6.32034e-05	0	2.49071e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus aviarius	0	0	0	2.07821e-05	5.47675e-05	0	0	0	0	0	0	0	0	0	1.19058e-05	2.1712e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus crispatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2751e-06	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus delbrueckii	0	2.65075e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus delbrueckii	0	6.05513e-05	0	0	0	0	0	0	0.0002780129	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus equicursoris	0	5.56225e-05	0	0	0	0	0	0	0	0	5.51204e-05	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus johnsonii	0	1.47224e-05	0	0	0	0	0	0	4.62031e-05	2.43238e-05	3.46265e-05	2.0404e-05	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus mucosae	0	2.76519e-05	0.0282399077	0	0	0	0	0	6.95032e-05	3.00781e-05	1.93878e-05	0	3.06658e-05	2.331e-05	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus reuteri	0	0	0	0.0138578144	0	0	0	0	0	0	0	0	0	0	1.02518e-05	1.1263e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus secaliphilus	0	0	0	8.47013e-05	0.0002651005	0	0	0	0	0	0	0	0	0	6.11804e-05	2.6216e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus species incertae sedis [ext_mOTU_v3_24967]	0	0	0	2.66177e-05	6.57636e-05	0	0	0	0	0	0	0	0	0	8.7727e-06	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus species incertae sedis [ext_mOTU_v3_26383]	0	0	0	0	0	0	0	0	0	3.64857e-05	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus	0	0	0.0001558799	0	5.48482e-05	0	0	0	0	0	0	0	0	0	3.07973e-05	2.10059e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus acidilactici	0	0	0.0001558799	0	5.48482e-05	0	0	0	0	0	0	0	0	0	3.07973e-05	2.10059e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0	6.02239e-05	0.0005284436	0.0009800644	0.0017589492	0	0.0001367473	0.0001828421	0.0001895049	0	0.0001629852	0	0	7.9604e-05	0.0002723146	1.75466e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0	6.02239e-05	0.0005284436	0.0009800644	0.0017589492	0	0.0001367473	0.0001828421	0.0001895049	0	0.0001629852	0	0	7.9604e-05	0.0002723146	1.75466e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus canis	0	0	0	0	0	0	0	0	0.0001895049	0	0	0	0	7.9604e-05	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus equinus	0	0	0.0001152675	0	0	0	0	0	0	0	4.69526e-05	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus minor	0	6.02239e-05	0	2.21714e-05	3.59054e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus orisratti	0	0	0	0.0008542147	0.0016206772	0	6.41123e-05	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus parauberis	0	0	6.90888e-05	0	0	0	0	0.000126237	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus sp.	0	0	0.0003440873	0	0	0	0	5.66051e-05	0	0	0.0001160327	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus suis	0	0	0	0.0001036784	0.0001023666	0	7.26351e-05	0	0	0	0	0	0	0	0.0002723146	1.75466e-05
k__Bacteria|p__Firmicutes|c__Clostridia	0.1129288777	0.1873958289	0.1394234358	0.4145065785	0.3018676363	0.3579324478	0.2633333208	0.2438099721	0.431133546	0.20136941	0.0860948436	0.0691218509	0.2088553079	0.2081101633	0.397123673	0.5748919637
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis	0	0	0	0	0	0	0	0	0	0	0	4.61265e-05	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis|f__Clostridia fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	4.61265e-05	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis|f__Clostridia fam. incertae sedis|g__Clostridia gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	4.61265e-05	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis|f__Clostridia fam. incertae sedis|g__Clostridia gen. incertae sedis|s__Clostridia species incertae sedis [meta_mOTU_v3_13431]	0	0	0	0	0	0	0	0	0	0	0	4.61265e-05	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.1129288777	0.1873958289	0.1394234358	0.4145065785	0.3018676363	0.3579324478	0.2633333208	0.2438099721	0.431133546	0.20136941	0.0860948436	0.0690757244	0.2088553079	0.2081101633	0.397123673	0.5748919637
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.0120452736	0.0392630279	0.009470132	0.0561840421	0.0494074709	0.0626027829	0.0440391029	0.0422948427	0.0431047215	0.0164822845	0.0043335802	0.0098428973	0.0256895236	0.0261608121	0.0736900648	0.1287302976
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus	0.0006022104	0.0003350871	0.0004742947	0.0025563766	0.0015654505	0.0007524774	0.0008071972	0.0004026602	0.0004491503	0.0005167722	0.000292085	0.0003417725	2.57351e-05	0.0005935591	0.0009930408	0.0019422223
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus pullicaecorum	0.0003284512	0	0.0004742947	0.0024554029	0.0015654505	0.0006453752	0.0006995531	0.0003146488	0.0002389816	0.000357654	0.0002762594	0.0001088301	2.57351e-05	0.0002190272	0.0007105225	0.0019422223
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus sp.	0.0002737592	0.0003350871	0	0.0001009737	0	0.0001071022	0.000107644	8.80114e-05	0.0002101687	0.0001591182	1.58256e-05	0.0002329423	0	0.0003745319	0.0002825183	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae gen. incertae sedis	0.0001610743	0	0	0	0	0.0010482512	0	0.0020242061	0	0	0	0	0	0	4.4829e-05	0.0013184475
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae gen. incertae sedis|s__Clostridiaceae species incertae sedis [ext_mOTU_v3_24603]	0.0001610743	0	0	0	0	0.0010482512	0	0.0020242061	0	0	0	0	0	0	4.4829e-05	0.0012955826
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae gen. incertae sedis|s__Clostridiaceae species incertae sedis [meta_mOTU_v3_12983]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28649e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0.0112819888	0.0388722384	0.0089958372	0.05360591	0.0478420204	0.0608020543	0.0431727575	0.0398679764	0.0426555712	0.0159655123	0.0040414953	0.0095011248	0.0256637886	0.0255672531	0.072652195	0.1254696278
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium baratii	0	0	0	0.0037773543	0.0002885761	0	0	0	0	0	0	0	0	0	0.0005987645	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium colicanis/thermobutyricum	0	0	0.0019750909	0.0001015255	0	0	0.0018343774	0	0	0	0	0	0	0	8.71213e-05	0.0023706578
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium perfringens	0.0002118027	5.20081e-05	0.0003649576	0.0132735282	0.000422923	0	6.13399e-05	4.33044e-05	0.0001248897	3.73731e-05	0.000370524	3.80154e-05	0	6.92886e-05	0.0010372388	0.0017536178
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium phoceensis	0	0	0	0.0001550957	0	0.0001321092	0.0001093698	7.62071e-05	0	0	0	2.84582e-05	0	3.01111e-05	0.0001031173	4.21677e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium saudiense/disporicum	0	0	0	0	0	0	4.01394e-05	0	0	0	2.18971e-05	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. 7_2_43FAA	0	0	0	0	0	0	0	0.0001060515	0	0	0	0	0	0	0	0
