X.mOTUs2_clade	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacteriaceae gen. incertae sedis|s__Microbacteriaceae bacterium BACL25 MAG-120322-bin65	0	0	4.05795e-05	0	0.0003166466	0	0	0	0	0	0	0	0	0	0	0.0098021915	0	0	0	0	0	0	0	0	0	3.67188e-05	0	0.0003405218	2.65756e-05	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacteriaceae gen. incertae sedis|s__Microbacteriaceae bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14781e-05	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacteriaceae gen. incertae sedis|s__Microbacteriaceae species incertae sedis [ext_mOTU_v3_22146]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26914e-05	0	1.27232e-05	1.36034e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacteriaceae gen. incertae sedis|s__Microbacteriaceae species incertae sedis [ext_mOTU_v3_22285]	0.0001832085	0.0002622816	0.006084662	0.0189906426	0.0117783208	0.0037462286	0.0141628872	0.0015260471	0.0221987481	0.0025048467	6.09104e-05	1.89586e-05	6.102e-05	0.0003429598	0.0005681155	0.062951367	0.0005595911	2.72446e-05	0.0079913138	0.0058262853	0.0022766826	0.0037112162	0.0103216822	0.0082225954	0.0118968432	6.72552e-05	0.0001220058	0.0113118266	0.0080909303	0.0012359353	0	0	0	0.0002460196	0.0004616321	0.0012697626	0.0068302126	0.0022824169	0	1.44568e-05	1.91278e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacteriaceae gen. incertae sedis|s__Microbacteriaceae species incertae sedis [ext_mOTU_v3_22336]	5.77687e-05	3.50254e-05	0.0004535775	0.0003960871	0.0009429107	0.0018786766	0.0019467298	0.0003702735	0.0023631534	0.0003062149	2.0034e-05	2.49299e-05	8.41423e-05	5.42818e-05	4.07753e-05	0.001085332	1.80977e-05	1.99045e-05	0.0002712925	0.002698902	0.0003164948	0.000362789	0.0021953631	0.0005672331	0.0001205953	0.0040463564	5.38015e-05	0.0010545932	0.0070338715	7.95526e-05	0	0	0	1.79722e-05	1.87337e-05	1.47854e-05	0.0001357969	9.21106e-05	0	1.53711e-05	1.47823e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacteriaceae gen. incertae sedis|s__Microbacteriaceae species incertae sedis [ext_mOTU_v3_24811]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59841e-05	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacteriaceae gen. incertae sedis|s__Microbacteriaceae species incertae sedis [meta_mOTU_v3_13891]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47742e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.898e-05	0	0	5.7812e-06	0	0	1.82135e-05	0	0	0	0	0	0	0	0	0	0	1.88803e-05	1.2004e-05	1.2498e-05	0	0	0	0	0	0	6.1652e-06
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32132e-05	0	0	0	0	0	1.82135e-05	0	0	0	0	0	0	0	0	0	0	1.31261e-05	1.2004e-05	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria palustris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42567e-05	0	0	0	0	0	1.82135e-05	0	0	0	0	0	0	0	0	0	0	1.31261e-05	1.2004e-05	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria polaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9565e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2498e-05	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus luteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2498e-05	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7667e-06	0	0	5.7812e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7542e-06	0	0	0	0	0	0	0	0	6.1652e-06
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia dentocariosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1652e-06
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7667e-06	0	0	5.7812e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7542e-06	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	3.5659e-06	0	1.02501e-05	2.77717e-05	1.55543e-05	0	4.6022e-06	4.23334e-05	0	2.84955e-05	8.23132e-05	0	0	8.1445e-06	3.10995e-05	0	0	2.48173e-05	0	1.96859e-05	2.49302e-05	3.01796e-05	0	7.6229e-06	1.21166e-05	5.5402e-06	8.7551e-06	8.0768e-06	0	7.3292e-06	5.8294e-06	3.95907e-05	3.19455e-05	7.7781e-06	6.6372e-06	0	0	0	9.1486e-06	0	4.13806e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae	0	0	0	1.32121e-05	0	0	0	2.71232e-05	0	1.38786e-05	4.35992e-05	0	0	0	2.27565e-05	0	0	1.75366e-05	0	1.46216e-05	1.82507e-05	1.86072e-05	0	0	0	0	0	0	0	0	0	1.37477e-05	2.0437e-05	0	0	0	0	0	0	0	2.93112e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides	0	0	0	1.32121e-05	0	0	0	2.71232e-05	0	1.38786e-05	4.35992e-05	0	0	0	2.27565e-05	0	0	1.75366e-05	0	1.46216e-05	1.82507e-05	1.86072e-05	0	0	0	0	0	0	0	0	0	1.37477e-05	2.0437e-05	0	0	0	0	0	0	0	2.93112e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides species incertae sedis [ext_mOTU_v3_28284]	0	0	0	1.32121e-05	0	0	0	2.71232e-05	0	1.38786e-05	4.35992e-05	0	0	0	2.27565e-05	0	0	1.75366e-05	0	1.46216e-05	1.82507e-05	1.86072e-05	0	0	0	0	0	0	0	0	0	1.37477e-05	2.0437e-05	0	0	0	0	0	0	0	2.93112e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	3.5659e-06	0	1.02501e-05	1.45596e-05	1.55543e-05	0	4.6022e-06	1.52101e-05	0	1.4617e-05	3.8714e-05	0	0	8.1445e-06	8.343e-06	0	0	7.2807e-06	0	5.0643e-06	6.6795e-06	1.15724e-05	0	7.6229e-06	1.21166e-05	5.5402e-06	8.7551e-06	8.0768e-06	0	7.3292e-06	5.8294e-06	2.5843e-05	1.15085e-05	7.7781e-06	6.6372e-06	0	0	0	9.1486e-06	0	1.20693e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	3.5659e-06	0	1.02501e-05	1.45596e-05	1.55543e-05	0	4.6022e-06	1.52101e-05	0	1.4617e-05	3.8714e-05	0	0	8.1445e-06	8.343e-06	0	0	7.2807e-06	0	5.0643e-06	6.6795e-06	1.15724e-05	0	7.6229e-06	1.21166e-05	5.5402e-06	8.7551e-06	8.0768e-06	0	7.3292e-06	5.8294e-06	2.5843e-05	1.15085e-05	7.7781e-06	6.6372e-06	0	0	0	9.1486e-06	0	1.20693e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium acnes	3.5659e-06	0	0	1.45596e-05	1.55543e-05	0	4.6022e-06	1.52101e-05	0	1.4617e-05	1.69282e-05	0	0	8.1445e-06	8.343e-06	0	0	7.2807e-06	0	5.0643e-06	6.6795e-06	1.15724e-05	0	7.6229e-06	1.21166e-05	5.5402e-06	8.7551e-06	8.0768e-06	0	7.3292e-06	5.8294e-06	1.45591e-05	1.15085e-05	7.7781e-06	6.6372e-06	0	0	0	9.1486e-06	0	1.20693e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium granulosum	0	0	0	0	0	0	0	0	0	0	7.1297e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.068e-06	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__[Propionibacterium] humerusii	0	0	1.02501e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__[Propionibacterium] namnetense	0	0	0	0	0	0	0	0	0	0	1.46561e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2159e-06	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales	0	0	0	0	0	0	0	1.33836e-05	0	0	1.69282e-05	0	0	0	1.69704e-05	0	0	1.71055e-05	0	0	1.87458e-05	1.39369e-05	0	0	0	0	0	0	0	0	0	1.37861e-05	1.66933e-05	0	0	0	1.56153e-05	0	0	0	2.46018e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae	0	0	0	0	0	0	0	1.33836e-05	0	0	1.69282e-05	0	0	0	1.69704e-05	0	0	1.71055e-05	0	0	1.87458e-05	1.39369e-05	0	0	0	0	0	0	0	0	0	1.37861e-05	1.66933e-05	0	0	0	1.56153e-05	0	0	0	2.46018e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia	0	0	0	0	0	0	0	1.33836e-05	0	0	1.69282e-05	0	0	0	1.69704e-05	0	0	1.71055e-05	0	0	1.87458e-05	1.39369e-05	0	0	0	0	0	0	0	0	0	1.37861e-05	1.66933e-05	0	0	0	1.56153e-05	0	0	0	2.46018e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia autotrophica	0	0	0	0	0	0	0	1.33836e-05	0	0	1.69282e-05	0	0	0	1.69704e-05	0	0	1.71055e-05	0	0	1.87458e-05	1.39369e-05	0	0	0	0	0	0	0	0	0	1.37861e-05	1.66933e-05	0	0	0	1.56153e-05	0	0	0	2.46018e-05
k__Bacteria|p__Bacteria phylum incertae sedis	0.0087222909	0.0014758674	0.0001271224	0.0001537187	0.0010946604	0.0029073387	0.0013115721	0.0569842752	0.0055691596	0.0335096394	0.0716508305	0.0215675036	0.005343559	0.001082139	0.0748458745	8.00127e-05	0.0007925245	0.0904847199	0.0063402853	0.000745125	0.0347335239	0.0442146707	0.0084327798	0.0061334959	0.0003140444	0.0031978057	0.0160936503	0.0012739689	0.0001323089	0.0420984625	0.0464300499	0.0784795946	0.084424104	0.0019712641	0.0087102639	0.0002297538	0.0103326207	0.0002760499	0.0501029424	0.0093227763	0.0731206646
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis	0.0087222909	0.0014758674	0.0001271224	0.0001537187	0.0010946604	0.0029073387	0.0013115721	0.0569842752	0.0055691596	0.0335096394	0.0716508305	0.0215675036	0.005343559	0.001082139	0.0748458745	8.00127e-05	0.0007925245	0.0904847199	0.0063402853	0.000745125	0.0347335239	0.0442146707	0.0084327798	0.0061334959	0.0003140444	0.0031978057	0.0160936503	0.0012739689	0.0001323089	0.0420984625	0.0464300499	0.0784795946	0.084424104	0.0019712641	0.0087102639	0.0002297538	0.0103326207	0.0002760499	0.0501029424	0.0093227763	0.0731206646
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis	0.0087222909	0.0014758674	0.0001271224	0.0001537187	0.0010946604	0.0029073387	0.0013115721	0.0569842752	0.0055691596	0.0335096394	0.0716508305	0.0215675036	0.005343559	0.001082139	0.0748458745	8.00127e-05	0.0007925245	0.0904847199	0.0063402853	0.000745125	0.0347335239	0.0442146707	0.0084327798	0.0061334959	0.0003140444	0.0031978057	0.0160936503	0.0012739689	0.0001323089	0.0420984625	0.0464300499	0.0784795946	0.084424104	0.0019712641	0.0087102639	0.0002297538	0.0103326207	0.0002760499	0.0501029424	0.0093227763	0.0731206646
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis	0.0087222909	0.0014758674	0.0001271224	0.0001537187	0.0010946604	0.0029073387	0.0013115721	0.0569842752	0.0055691596	0.0335096394	0.0716508305	0.0215675036	0.005343559	0.001082139	0.0748458745	8.00127e-05	0.0007925245	0.0904847199	0.0063402853	0.000745125	0.0347335239	0.0442146707	0.0084327798	0.0061334959	0.0003140444	0.0031978057	0.0160936503	0.0012739689	0.0001323089	0.0420984625	0.0464300499	0.0784795946	0.084424104	0.0019712641	0.0087102639	0.0002297538	0.0103326207	0.0002760499	0.0501029424	0.0093227763	0.0731206646
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis	0.0087222909	0.0014758674	0.0001271224	0.0001537187	0.0010946604	0.0029073387	0.0013115721	0.0569842752	0.0055691596	0.0335096394	0.0716508305	0.0215675036	0.005343559	0.001082139	0.0748458745	8.00127e-05	0.0007925245	0.0904847199	0.0063402853	0.000745125	0.0347335239	0.0442146707	0.0084327798	0.0061334959	0.0003140444	0.0031978057	0.0160936503	0.0012739689	0.0001323089	0.0420984625	0.0464300499	0.0784795946	0.084424104	0.0019712641	0.0087102639	0.0002297538	0.0103326207	0.0002760499	0.0501029424	0.0093227763	0.0731206646
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Atribacteria bacterium	0	0	0	0	1.59203e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15066]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88509e-05	0	0	0	0	0	0	1.15093e-05	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15135]	0.0002051804	3.1172e-05	0	0	3.19974e-05	0	0	0.0004582087	6.98023e-05	0.0050878855	0.0040435024	0.0069546296	2.34072e-05	0.0001053599	0.0004927743	0	0	6.42697e-05	0	0	4.21355e-05	1.16228e-05	0.0005215393	0.0016183263	1.50497e-05	1.22245e-05	0.000217398	0	0	0.0192276211	0.0002927526	8.18191e-05	0.0002659005	0.0001391917	0.0006094928	0	0.0001366014	2.1584e-05	0.0003529728	0.002934336	0.0009111245
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15138]	0	0	0	0	0	0	0	0	0	6.72234e-05	0.0001161775	0.0005909301	0	0	1.35583e-05	0	0	0	0	0	0	0	0	7.66622e-05	0	0	0	0	0	6.30777e-05	0.0052607442	0.0011772569	3.07526e-05	3.63265e-05	3.93004e-05	0	0	0	0.0041308141	0.0005285529	4.94929e-05
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15139]	0	0	0	0	0	0	0	1.27777e-05	0	0.0011789346	0.0015571724	0.0053550603	2.35128e-05	0	0.0002461639	0	0	0	0	0	0	0	3.22012e-05	0.0003107908	0	0	0	0	0	0.0024846636	0.0195186501	0.0026212712	0.0002985339	4.34633e-05	0.0004930206	0	2.99912e-05	0	0.0210330215	0.0035079939	0.0002387221
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15172]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.21169e-05	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15179]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47496e-05	0	0	0.0001032106	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50039e-05	1.73444e-05	0	0	0	0	0	0	0	3.4868e-05
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15180]	0	0	0	0	0	0	0	0	0	0	0.0003795859	0	0	0	0.0005147299	0	0	0.0014878297	0	0	2.86551e-05	0	0	0	0	0	0	0	0	0	0	0.0069331057	0.000285228	2.85591e-05	0	0	1.97435e-05	0	1.17922e-05	0	4.72326e-05
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15185]	0	0	0	0	0	0	0	0	0	0	1.35881e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.9603e-05	0.005802478	0	0	0	0	0	0	0.0001056072	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15198]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.29968e-05	0.0021027916	0	0	0	0	0	0	0.0001037506	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15246]	6.64988e-05	1.17365e-05	0	0	0	0	0	0.0003866393	1.24974e-05	0.0026274063	0.0072342088	0	0	0	0.00165564	0	0	0.000314768	0	0	2.85796e-05	0	0	0.000166325	0	0	0.0001310505	0	0	0.0008251253	4.76569e-05	0.0001585203	0.0001455408	6.26069e-05	0.0002759413	0	0.0002511033	0	5.0517e-05	1.95735e-05	0.0013107107
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15257]	0	0	0	0	0	0	0	0	0	5.51345e-05	0.0014857026	0	0	0	0.000179927	0	0	5.47073e-05	0	0	0	0	0	4.66012e-05	0	0	0	0	0	1.85285e-05	9.8376e-06	0.0001545163	2.47861e-05	1.40381e-05	0	0	1.71297e-05	0	0	0	1.9024e-05
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15260]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02395e-05	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15267]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31583e-05	1.29853e-05	1.54834e-05	0	0	0	0	0	0	1.4825e-05
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15269]	0	0	0	0	0	0	0	1.24994e-05	0	0	0	0	0	0	0	0	0	1.42343e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10412e-05	2.10516e-05	0	0	0	0	0	0	0	2.46419e-05
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15270]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47398e-05
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15281]	0	0	0	0	0	0	0	0	0	0.0001327609	0.0005354709	0.0001080971	0	0	0	0	0	0	0	0	0	0	0	1.7092e-05	0	0	0	0	0	0.0003005829	0.0005342868	0.0005273457	1.63537e-05	0	0	0	0	0	0.000513031	0.0001476078	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15311]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25737e-05	3.62233e-05	0	0	0	0	0	0	1.41068e-05	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_15312]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005990844	0.0007647242	0	0	0	0	0	0	0.0006034293	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_17185]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75173e-05	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_17223]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002570862	0.0001805992	0	0	0	0	0	0	0.0003672987	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_17224]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9679e-05	5.17043e-05	0	0	0	0	0	0	8.12952e-05	0	0
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v3_17231]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99191e-05	0	0
