X.mOTUs2_clade	reSRR9697535	reSRR9697536	reSRR9697537	reSRR9697538	reSRR9697539	reSRR9697540	reSRR9697541	reSRR9697542	reSRR9697543	reSRR9697544	reSRR9697545	reSRR9697546	reSRR9697547	reSRR9697548	reSRR9697549	reSRR9697550	reSRR9697551	reSRR9697552	reSRR9697553	reSRR9697554	reSRR9697555	reSRR9697556	reSRR9697557	reSRR9697558	reSRR9697559	reSRR9697560	reSRR9697561	reSRR9697562	reSRR9697563	reSRR9697564	reSRR9697566	reSRR9697567	reSRR9697568	reSRR9697569
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes sp. SE50/110	0	0	0	0	0	0	0.0082602314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073106626	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes sp. TFC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142625802	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes subtropicus	0	0	0	0	0	0	0	0	0	0	0.002390532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0138234111	0	0	0	0	0	0.0123211961	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes utahensis	0	0	0	0	0	0	0.005538313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0061395468	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Dactylosporangium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054558738	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Dactylosporangium|s__Dactylosporangium aurantiacum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0054558738	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora	0	0	0	0	0	0	0.0580493426	0	0	0	0.0020920578	0	0	0	0	0	0	0.0104125515	0	0	0	0	0	0	0	0	0.0004228034	0.0039968776	0	0	0	0.0296954032	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora auratinigra	0	0	0	0	0	0	0.0097226899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004228034	0.0008073478	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora chaiyaphumensis/chersina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002931566	0	0	0	0.0050937786	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora eburnea/narathiwatensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001418928	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora halophytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002217543	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora humi	0	0	0	0	0	0	0.0139089807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003783807	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora lupini	0	0	0	0	0	0	0.007947989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora matsumotoense	0	0	0	0	0	0	0.0066845803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002556279	0	0	0	0.005083964	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora mirobrigensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011256311	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora sediminicola	0	0	0	0	0	0	0.0066974849	0	0	0	0	0	0	0	0	0	0	0.0104125515	0	0	0	0	0	0	0	0	0	0.0002453286	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora sp. HK10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001450285	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora sp.	0	0	0	0	0	0	0.0044026614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0094912854	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora sp.	0	0	0	0	0	0	0.0086849565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002860434	0	0	0	0.0100263752	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora species incertae sedis [ext_mOTU_v3_28586]	0	0	0	0	0	0	0	0	0	0	0.0020920578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.66857e-05	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Nakamurellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058577019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Nakamurellales|f__Nakamurellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058577019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Nakamurellales|f__Nakamurellaceae|g__Nakamurella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058577019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Nakamurellales|f__Nakamurellaceae|g__Nakamurella|s__Nakamurella multipartita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058577019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0	0.0251745315	0.0143845813	0	0.1304472394	0	0.0942217556	0	0.0272042727	0	0.0398566411	0.0172198743	0	0	0	0.052673582	0.0039441655	0.0275430436	0	0.0130491006	0.0087402086	0.002545563	0.0018872655	0.0050369654	0.0061242157	0.0380252527	0.0169474898	0.0108539098	0.0064389612	0.0452304407	0	0.0625816435	0.0042160551	0.0212669582
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae	0	0.0251745315	0.0143845813	0	0.1304472394	0	0.0942217556	0	0.0272042727	0	0.0398566411	0.0172198743	0	0	0	0.052673582	0.0039441655	0.0275430436	0	0.0130491006	0.0087402086	0.002545563	0.0018872655	0.0050369654	0.0061242157	0.0380252527	0.0169474898	0.0108539098	0.0064389612	0.0452304407	0	0.0625816435	0.0042160551	0.0212669582
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Actinopolymorpha	0	0	0	0	0	0	0	0	0	0	0.0018597347	0	0	0	0	0	0	0	0	0.0072155921	0	0	0	0	0	0	0	0.0002505982	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Actinopolymorpha|s__Actinopolymorpha cephalotaxi	0	0	0	0	0	0	0	0	0	0	0.0018597347	0	0	0	0	0	0	0	0	0.0072155921	0	0	0	0	0	0	0	0.0002505982	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Aeromicrobium	0	0	0.0025802254	0	0.009124347	0	0	0	0.0045922275	0	0	0.0018469576	0	0	0	0	0	0.0043924468	0	0	0	0	0.0018872655	0	0	0	0	0.0007113065	0	0	0	0	0	0.0023622491
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Aeromicrobium|s__Aeromicrobium choanae	0	0	0	0	0	0	0	0	0	0	0	0.0018469576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Aeromicrobium|s__Aeromicrobium massiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002229313	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Aeromicrobium|s__Aeromicrobium sp.	0	0	0.0025802254	0	0.009124347	0	0	0	0.0045922275	0	0	0	0	0	0	0	0	0.0043924468	0	0	0	0	0.0018872655	0	0	0	0	0.0004883751	0	0	0	0	0	0.0023622491
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Friedmanniella	0	0.0135540498	0.0029068727	0	0.0045375131	0	0	0	0.0127788216	0	0.006095721	0.000948977	0	0	0	0.0171435133	0	0	0	0	0	0	0	0.0050369654	0	0	0	0.0018371066	0	0.0224284721	0	0.0158875194	0	0.0014513364
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Friedmanniella|s__Friedmanniella flava	0	0.0025348469	0.0011128097	0	0	0	0	0	0	0	0.0037434584	0.000948977	0	0	0	0.0055537012	0	0	0	0	0	0	0	0.0023534954	0	0	0	0.0005977267	0	0	0	0.0050067881	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Friedmanniella|s__Friedmanniella sagamiharensis	0	0.0110192029	0.001794063	0	0.0045375131	0	0	0	0.0127788216	0	0.0023522626	0	0	0	0	0.0115898121	0	0	0	0	0	0	0	0.00268347	0	0	0	0.0012393799	0	0.0224284721	0	0.0108807313	0	0.0014513364
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola	0	0.0030161536	0.0040555174	0	0.0222269142	0	0.009427438	0	0	0	0.0061415608	0	0	0	0	0.007786507	0.0013841235	0	0	0	0	0	0	0	0	0	0.00172884	0.0010663506	0	0.009697906	0	0.0073293815	0	0.0019756993
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola|s__Marmoricola aequoreus	0	0	0.0023623177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002091281	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola|s__Marmoricola scoriae	0	0	0	0	0.006082898	0	0	0	0	0	0.0012307052	0	0	0	0	0.0040475483	0	0	0	0	0	0	0	0	0	0	0	0.000388898	0	0	0	0.0073293815	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola|s__Marmoricola sp. Leaf446	0	0	0	0	0.0082769541	0	0	0	0	0	0.0016220805	0	0	0	0	0	0.0013841235	0	0	0	0	0	0	0	0	0	0	0.0002127084	0	0	0	0	0	0.0019756993
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola|s__Marmoricola sp. URHB0036	0	0.0030161536	0.0016931997	0	0.0078670621	0	0.009427438	0	0	0	0.0032887752	0	0	0	0	0.0037389586	0	0	0	0	0	0	0	0	0	0	0.00172884	0.0002556162	0	0.009697906	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides	0	0.0086043281	0.0048419657	0	0.0919456865	0	0.0769805853	0	0.0098332236	0	0.0257596246	0.0125579119	0	0	0	0.0277435617	0.002560042	0.0231505968	0	0.0058335086	0.0087402086	0.002545563	0	0	0.0044203368	0.0380252527	0.0132956193	0.0066128747	0.0064389612	0.0131040626	0	0.0362732042	0.0042160551	0.0154776733
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides alkalitolerans	0	0	0	0	0.0039134728	0	0.0039649111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012647865	0.0001238215	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides alpinus	0	0	0	0	0.0064079383	0	0	0	0	0	0.0020520972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009024079	0.0004181253	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides dokdonensis	0	0	0.001292823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides exalbidus	0	0	0.0021057813	0	0.0038453462	0	0.0186856221	0	0.0049651504	0	0.003731525	0.0018798997	0	0	0	0	0	0.006341081	0	0	0	0.0021037012	0	0	0	0	0.0013253405	0.0002889169	0	0	0	0.0047005268	0	0.0040504587
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides halotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028343719	0	0	0	0	0	0	0	0	0	0.0305672611	0	0.0002165638	0.0011903437	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides lianchengensis	0	0	0	0	0.002917194	0	0	0	0	0	0	0.0009547075	0	0	0	0	0	0.0039296411	0	0	0	0	0	0	0	0	0	0.0003000019	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides luteus	0	0	0	0	0.0030250087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035560058	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. Iso805N	0	0	0	0	0.0089486498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001988649	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. J54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008812816
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. JS614	0	0	0	0	0.0032100953	0	0.0036751029	0	0	0	0.0026627544	0.0010979137	0	0	0	0	0.002560042	0	0	0	0	0	0	0	0	0	0.0019581291	0.0002408272	0	0	0	0.0055902062	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. Root122	0	0	0.0014433614	0	0.0036432501	0	0.0157494404	0	0	0	0.0021639413	0	0	0	0	0	0	0.004520593	0	0	0	0	0	0	0	0	0.0010010261	0.0004961185	0.001150387	0.0074084385	0	0.0047456156	0	0.0010126147
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. Soil774	0	0	0	0	0.0055842949	0	0.0089878165	0	0.0048680732	0	0	0	0	0	0	0.0058740186	0	0	0	0	0	0.0004418617	0	0	0	0	0	0.0002530136	0	0	0	0.0062525529	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. Soil777	0	0	0	0	0.0041048407	0	0.0042052087	0	0	0	0.0023657597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005022892	0	0.0056956241	0	0	0	0.0015436461
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. Soil805	0	0	0	0	0	0	0	0	0	0	0.0014467415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001902186	0.0013660768	0	0	0.0060448507	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. UNC345MFTsu5.1	0	0	0	0	0.0044770129	0	0	0	0	0	0	0.001851283	0	0	0	0	0	0	0	0	0	0	0	0	0.000864331	0.0074579915	0	0.0001730418	0	0	0	0.006179338	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. URHA0020	0	0	0	0	0.0056508639	0	0.0055799219	0	0	0	0.0011078088	0	0	0	0	0.0048200518	0	0.0028153017	0	0	0	0	0	0	0	0	0.0015673348	0.000737359	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp. URHA0032	0	0	0	0	0.009353091	0	0.0089645922	0	0	0	0.0020730607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001952515	0.0027321537	0	0	0	0	0.0008823511
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001726385	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp.	0	0.0037838357	0	0	0.0059959994	0	0	0	0	0	0.0025436859	0.0021422705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017493239	0.0002954707	0	0	0	0	0.0042160551	0.0026310881
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp.	0	0	0	0	0.0014826653	0	0	0	0	0	0	0.0022237326	0	0	0	0	0	0	0	0	0.0087402086	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp.	0	0	0	0	0.0030406312	0	0	0	0	0	0.0017493932	0	0	0	0	0.0046173376	0	0	0	0	0	0	0	0	0	0	0	0.0002468158	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides sp.	0	0	0	0	0.0043048201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001432594	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides species incertae sedis [ext_mOTU_v3_15042]	0	0	0	0	0	0	0	0	0	0	0	0.0009023948	0	0	0	0.0041186966	0	0	0	0.0058335086	0	0	0	0	0	0	0	0.0002050794	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides species incertae sedis [ext_mOTU_v3_19396]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013595114	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides species incertae sedis [ext_mOTU_v3_24402]	0	0	0	0	0.0064079383	0	0	0	0	0	0	0	0	0	0	0.0054790852	0	0.0055439801	0	0	0	0	0	0	0	0	0	0.0002391814	0	0	0	0	0	0.0020308864
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides species incertae sedis [ext_mOTU_v3_28275]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.92445e-05	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides species incertae sedis [ext_mOTU_v3_28284]	0	0.0048204924	0	0	0.0056325735	0	0	0	0	0	0	0.0015057102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001333962	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides species incertae sedis [ext_mOTU_v3_28413]	0	0	0	0	0	0	0.0071679694	0	0	0	0.0003707606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008427108	0.0002180481	0	0	0	0.002760114	0	0.0024453465
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides species incertae sedis [ext_mOTU_v3_30747]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013250482	9.66857e-05	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides szechwanensis	0	0	0	0	0	0	0	0	0	0	0.0034920965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001417545	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides terrae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000286887	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Pimelobacter	0	0	0	0	0.0026127786	0	0.0078137324	0	0	0	0	0.0018660278	0	0	0	0	0	0	0	0	0	0	0	0	0.0017038789	0	0.0019230305	0.0003756732	0	0	0	0.0030915384	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Pimelobacter|s__Pimelobacter simplex	0	0	0	0	0.0026127786	0	0.0078137324	0	0	0	0	0.0018660278	0	0	0	0	0	0	0	0	0	0	0	0	0.0017038789	0	0.0019230305	0.0003756732	0	0	0	0.0030915384	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales	0	0.0056723323	0.0015621713	0.0076866987	0	0	0.0294838345	0	0.0176467582	0.0017119671	0.0028702328	0.0079677066	0	0.0371415876	0.0026548669	0.0075862649	0.0102693412	0.0371074567	0	0	0	0.0035436899	0.0052969347	0	0.0031376952	0.014864901	0.0039041355	0.000342824	0	0.0098893687	0.0280258979	0.0172130049	0	0.002780334
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae	0	0.0056723323	0.0015621713	0.0076866987	0	0	0.0294838345	0	0.0176467582	0.0017119671	0.0028702328	0.0079677066	0	0.0371415876	0.0026548669	0.0075862649	0.0102693412	0.0371074567	0	0	0	0.0035436899	0.0052969347	0	0.0031376952	0.014864901	0.0039041355	0.000342824	0	0.0098893687	0.0280258979	0.0172130049	0	0.002780334
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinomycetospora	0	0.0056723323	0.0015621713	0	0	0	0	0	0.0060878881	0	0.0019190003	0	0	0	0	0.0062574857	0	0.0173103176	0	0	0	0	0	0	0	0	0	0	0	0.0098893687	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinomycetospora|s__Actinomycetospora chiangmaiensis	0	0.0056723323	0.0015621713	0	0	0	0	0	0.0060878881	0	0.0019190003	0	0	0	0	0.0062574857	0	0.0173103176	0	0	0	0	0	0	0	0	0	0	0	0.0098893687	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Allokutzneria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0280258979	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Allokutzneria|s__Allokutzneria albata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0280258979	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis	0	0	0	0	0	0	0	0	0	0	0	0.0041763501	0	0	0	0.0013287793	0	0	0	0	0	0	0	0	0.0031376952	0	0.0016892784	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis australiensis	0	0	0	0	0	0	0	0	0	0	0	0.0007719705	0	0	0	0	0	0	0	0	0	0	0	0	0.0007272868	0	0	0	0	0	0	0	0	0
