X.mOTUs2_clade	reERR1346801	reERR1346802	reERR1346803	reERR1346804	reERR1346805	reERR1346806	reERR1346807	reERR1346808	reERR1346809	reERR1346810	reERR1346811	reERR1346812	reERR1346813	reERR1346814	reERR1346815	reERR1346816	reERR1346817	reERR1346818	reERR1346819	reERR1346820	reERR1346821	reERR1346822	reERR1346823	reERR1346824	reERR1346825	reERR1346826	reERR1346827	reERR1346828	reERR1346829	reERR1346830	reERR1346831	reERR1346832	reERR1346833	reERR1346834	reERR1346835	reERR1346836	reERR1346837	reERR1346838	reERR1346839	reERR1346840	reERR1346841	reERR1346842	reERR1346843	reERR1346844	reERR1346845	reERR1346846	reERR1346847	reERR1346848	reERR1346849	reERR1346850	reERR1346851	reERR1346852	reERR1346853	reERR1346854	reERR1346855	reERR1346856	reERR1346857	reERR1346858	reERR1346859	reERR1346860	reERR1346861	reERR1346862	reERR1346863	reERR1346864	reERR1346865	reERR1346866	reERR1346867	reERR1346868	reERR1346869	reERR1346870	reERR1346871	reERR1346872	reERR1346873	reERR1346874	reERR1346875	reERR1346876	reERR1346877	reERR1346878	reERR1346879	reERR1346880	reERR1346881	reERR1346882	reERR1346883	reERR1346884	reERR1346887	reERR1346888	reERR1346889	reERR1346890	reERR1346891	reERR1346892
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_29349]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018616524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_29372]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002882498	0.0031780219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053368433	0	0.0028785796	0	0	0	0	0	0	0	0.0030732654	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015276739	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_29386]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014839735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_29387]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009610457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009294997	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_31918]	0	0	0	0	0	0.0007231079	0	0	0	0	0	0	0	0	0	0	0.0004422855	0	0	0	0.0004194792	0.0004515833	0	0	0.0230706334	0.0003494295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015020014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_31925]	0.0054340506	0	0.000675298	0.0014504572	0.0067106238	0	0.0020212596	0	0	0	0	0	0	0	0	0	0.0009588758	0	0.0030994422	0.0050642747	0.0006142375	0.0013212318	0.0028758156	0	0.0136368781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041742823	0.0013905567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_31951]	0.0007148904	0	0	0.0003133352	0.0054543131	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002946173	0.0035887598	0	0	0	0	0.0015817728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007577975	0.0016580366	0	0.0070070432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_31956]	0	0	0.0006504537	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003213815	0.0010489081	0	0	0.0008421799	0.0046511376	0	0.0003837625	0	0.0003304902	0	0	0	0.0012681439	0	0.0006521077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039164562	0.0085460495	0	0	0	0	0.0026584811	0	0.0015011227	0	0	0	0	0	0	0	0.003642509	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0029196137	0.0046423912	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria class incertae sedis|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_31986]	0.001129592	0	0.0010745149	0	0.000419309	0	0	0	0	0.0009292954	0	0.0060732272	0	0	0	0	0.0008084509	0	0.0002107718	0	0	0.000578825	0	0	0	0	0	0	0	0.0011126235	0.0005816686	0.0013804099	0.0006685346	0.0014277439	0	0.0010817338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052460517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003656491	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Catenulisporales/Streptomycetales]	0	0	0	0.0013345208	0	0	0	0	0.001978772	0	0	0	0	0	0	0.0010537964	0	0	0	0	0	0	0	0	0	0	0.0004485446	0.0004340863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Catenulisporales/Streptomycetales]|f__Actinobacteria fam. [Streptomycetaceae/Actinospicaceae]	0	0	0	0.0013345208	0	0	0	0	0.001978772	0	0	0	0	0	0	0.0010537964	0	0	0	0	0	0	0	0	0	0	0.0004485446	0.0004340863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Catenulisporales/Streptomycetales]|f__Actinobacteria fam. [Streptomycetaceae/Actinospicaceae]|g__Actinobacteria gen. [Streptomyces/Actinospica]	0	0	0	0.0013345208	0	0	0	0	0.001978772	0	0	0	0	0	0	0.0010537964	0	0	0	0	0	0	0	0	0	0	0.0004485446	0.0004340863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Catenulisporales/Streptomycetales]|f__Actinobacteria fam. [Streptomycetaceae/Actinospicaceae]|g__Actinobacteria gen. [Streptomyces/Actinospica]|s__Actinobacteria sp.	0	0	0	0.0013345208	0	0	0	0	0.001978772	0	0	0	0	0	0	0.0010537964	0	0	0	0	0	0	0	0	0	0	0.0004485446	0.0004340863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Corynebacteriales/Pseudonocardiales]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000649312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Corynebacteriales/Pseudonocardiales]|f__Actinobacteria fam. [Pseudonocardiaceae/Nocardiaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000649312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Corynebacteriales/Pseudonocardiales]|f__Actinobacteria fam. [Pseudonocardiaceae/Nocardiaceae]|g__Actinobacteria gen. [Rhodococcus/Kibdelosporangium]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000649312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Corynebacteriales/Pseudonocardiales]|f__Actinobacteria fam. [Pseudonocardiaceae/Nocardiaceae]|g__Actinobacteria gen. [Rhodococcus/Kibdelosporangium]|s__Actinobacteria sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000649312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis	0.0004277325	0	0.002401346	0	0	0	0	0.0033478614	0	0.0010877088	0	0.0047427014	0	0.0018590588	0	0.0041581218	0.0035827381	0.0072142465	0.0004598218	0.0027655268	0	0.002702449	0	0	0.0009227154	0	0.001477229	0.0051469117	0.0004800143	0.0177267798	0	0	0.0040285306	0.0174226368	0	0.0118308936	0.0033721726	0.0018510635	0	0	0.0038824786	0	0.0172799149	0	0	0	0	0	0.0013245767	0	0	0	0	0	0	0	0.0095964299	0.012193006	0.0106843963	0.0133630728	0	0	0.0116659109	0.0039024148	0.0062648137	0.0108738576	0.003282888	0.0087399705	0	0	0.0057629602	0	0.0064041049	0	0	0	0	0	0.0056560368	0	0	0.011515102	0	0	0.001249521	0	0.0066794707	0.0130544087	0	0.0025403953
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis	0.0004277325	0	0.002401346	0	0	0	0	0.0033478614	0	0.0010877088	0	0.0047427014	0	0.0018590588	0	0.0041581218	0.0035827381	0.0072142465	0.0004598218	0.0027655268	0	0.002702449	0	0	0.0009227154	0	0.001477229	0.0051469117	0.0004800143	0.0177267798	0	0	0.0040285306	0.0174226368	0	0.0118308936	0.0033721726	0.0018510635	0	0	0.0038824786	0	0.0172799149	0	0	0	0	0	0.0013245767	0	0	0	0	0	0	0	0.0095964299	0.012193006	0.0106843963	0.0133630728	0	0	0.0116659109	0.0039024148	0.0062648137	0.0108738576	0.003282888	0.0087399705	0	0	0.0057629602	0	0.0064041049	0	0	0	0	0	0.0056560368	0	0	0.011515102	0	0	0.001249521	0	0.0066794707	0.0130544087	0	0.0025403953
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis	0.0004277325	0	0.002401346	0	0	0	0	0.0033478614	0	0.0010877088	0	0.0047427014	0	0.0018590588	0	0.0041581218	0.0035827381	0.0072142465	0.0004598218	0.0027655268	0	0.002702449	0	0	0.0009227154	0	0.001477229	0.0051469117	0.0004800143	0.0177267798	0	0	0.0040285306	0.0174226368	0	0.0118308936	0.0033721726	0.0018510635	0	0	0.0038824786	0	0.0172799149	0	0	0	0	0	0.0013245767	0	0	0	0	0	0	0	0.0095964299	0.012193006	0.0106843963	0.0133630728	0	0	0.0116659109	0.0039024148	0.0062648137	0.0108738576	0.003282888	0.0087399705	0	0	0.0057629602	0	0.0064041049	0	0	0	0	0	0.0056560368	0	0	0.011515102	0	0	0.001249521	0	0.0066794707	0.0130544087	0	0.0025403953
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_14998]	0.0004277325	0	0.0009593778	0	0	0	0	0.0022845271	0	0.0010877088	0	0	0	0.0018590588	0	0.0021086221	0.0003119543	0.0042776653	0	0.0015945885	0	0.0003507758	0	0	0.0009227154	0	0.0007096043	0.0018179773	0.0004800143	0.0121503273	0	0	0.002947538	0.0126222579	0	0.0113227505	0.0018089229	0.0018510635	0	0	0.0038824786	0	0.0172799149	0	0	0	0	0	0.0013245767	0	0	0	0	0	0	0	0.0095964299	0.0112052716	0.0106843963	0.0108617318	0	0	0.0116659109	0.0039024148	0.0037261668	0.0108738576	0.003282888	0.0087399705	0	0	0.0057629602	0	0.0039439802	0	0	0	0	0	0.0056560368	0	0	0.011515102	0	0	0.001249521	0	0.0042765145	0.0096192072	0	0.0025403953
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_24486]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007676247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_24632]	0	0	0.0014419683	0	0	0	0	0.0010633343	0	0	0	0	0	0	0	0	0	0	0.0004598218	0.0011709383	0	0.000694974	0	0	0	0	0	0	0	0.0029266288	0	0	0.0009508514	0.0048003789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025013411	0	0	0	0	0	0	0	0	0	0	0	0	0.0024601247	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024029562	0.0034352015	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_29152]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002628828	0	0	0	0	0	0	0	0	0	0	0.0010232035	0	0.0004852705	0	0	0	0	0	0	0.0015632497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_29410]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016566992	0	0	0	0	0	0	0	0	0	0	0.0001301412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009877344	0	0	0	0	0	0	0.0025386469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_32030]	0	0	0	0	0	0	0	0	0	0	0	0.0047427014	0	0	0	0	0.0008497544	0.0007009124	0	0	0	0	0	0	0	0	0	0.0012182423	0	0.0006043771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_32033]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003298316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_32058]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007168067	0.0022356688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_32070]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002123101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_32072]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009050751	0.0002701855	0	0	0	0	0	0	0	0	0	0	0.0010874886	0	0.0010275826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_32112]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011444246	0.0003111246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__Actinobacteria species incertae sedis [ext_mOTU_v3_32120]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005325934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order incertae sedis|f__Actinobacteria fam. incertae sedis|g__Actinobacteria gen. incertae sedis|s__actinobacterium LLX17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003178882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005081431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales	0	0	0	0.0005004403	0.0004007236	0	0	0.0028423489	0.0011423839	0.001332991	0	0	0.0004569855	0	0	0	0.0002850094	0	0	0	0	0.0005018625	0.0008996965	0	0	0.0006401621	0.0003642523	0	0	0.0004575368	0	0	0.0001846578	0	0	0.000841809	0	0	0	0	0	0	0	0.0420660178	0.002010986	0	0	0	0.0018581346	0	0	0	0	0	0	0.0025230948	0	0	0	0	0	0	0.0008332216	0	0.0017009789	0.0012944346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052155259	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Catenulisporaceae	0	0	0	0.0005004403	0.0004007236	0	0	0.0028423489	0.0011423839	0.001332991	0	0	0.0004569855	0	0	0	0.0002850094	0	0	0	0	0.0005018625	0.0008996965	0	0	0.0006401621	0.0003642523	0	0	0.0004575368	0	0	0.0001846578	0	0	0.000841809	0	0	0	0	0	0	0	0.0420660178	0.002010986	0	0	0	0.0018581346	0	0	0	0	0	0	0.0025230948	0	0	0	0	0	0	0.0008332216	0	0.0017009789	0.0012944346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052155259	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Catenulisporaceae|g__Catenulispora	0	0	0	0.0005004403	0.0004007236	0	0	0.0028423489	0.0011423839	0.001332991	0	0	0.0004569855	0	0	0	0.0002850094	0	0	0	0	0.0005018625	0.0008996965	0	0	0.0006401621	0.0003642523	0	0	0.0004575368	0	0	0.0001846578	0	0	0.000841809	0	0	0	0	0	0	0	0.0420660178	0.002010986	0	0	0	0.0018581346	0	0	0	0	0	0	0.0025230948	0	0	0	0	0	0	0.0008332216	0	0.0017009789	0.0012944346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052155259	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Catenulisporaceae|g__Catenulispora|s__Catenulispora acidiphila	0	0	0	0.0005004403	0.0004007236	0	0	0.0028423489	0.0011423839	0.001332991	0	0	0.0004569855	0	0	0	0.0002850094	0	0	0	0	0.0005018625	0.0008996965	0	0	0.0006401621	0.0003642523	0	0	0.0004575368	0	0	0.0001846578	0	0	0.000841809	0	0	0	0	0	0	0	0.0420660178	0.002010986	0	0	0	0.0018581346	0	0	0	0	0	0	0.0025230948	0	0	0	0	0	0	0.0008332216	0	0.0017009789	0.0012944346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052155259	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0.0313087298	0.0058860797	0.0344439203	0.0169620109	0.0286009057	0.0089654166	0.008761535	0.0041646585	0.0098735489	0.0023072556	0	0.0041623899	0	0.0007846825	0	0.0081301592	0.0131516658	0.0038053704	0.0168605851	0.0235691229	0.0228985706	0.1080365633	0.0069806733	0.0074902485	0.0136382609	0.0024654742	0.0054310942	0.0079902035	0	0.0078604539	0.004971183	0.0004722159	0.0175727932	0.0256760282	0.0044169531	0.0586207692	0.0083332951	0.0028135196	0.0066656776	0.0166193779	0.0202184478	0	0.0373751709	0.0878809482	0.0365168731	0.0148216166	0	0.0140091142	0.0313035928	0.0111392082	0.0186039459	0.0918289806	0	0	0	0.0192369265	0.0030773051	0.0069962371	0.0227243914	0.0117196941	0.0259744684	0	0.0182327149	0.0072368013	0.0043872919	0.0113393998	0.0035413281	0.0060403898	0.0529138958	0.0041707351	0.025285107	0.0160389686	0.0203755851	0.017932018	0	0.0606393846	0	0	0.0103707105	0	0	0.0575050897	0.0326867967	0.0414841953	0.019392171	0.0115756853	0.0361037022	0.0158154591	0.1922703038	0.053875942
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002488997	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003844659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016976079	0	0	0	0	0	0	0	0	0	0	0	0.0031591935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
