bin_id	completeness	contamination	strain_heterogeneity	quality	keep	n50
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.19	92.31	2.56	0.0	high_quality	keep	21703
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.2	53.68	0.0	0.0	medium_quality	keep	4936
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.20	82.37	64.39	0.0	low_quality	reject	2790
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.21	26.72	3.45	0.0	low_quality	reject	3427
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.22	18.97	0.0	0.0	low_quality	reject	2125
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.23	73.48	0.15	0.0	medium_quality	keep	5759
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.24	90.8	9.06	0.0	medium_quality	keep	14408
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.25	59.9	2.84	22.22	medium_quality	keep	3069
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.26	94.44	1.03	0.0	high_quality	keep	74249
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.27	95.26	1.72	0.0	high_quality	keep	130993
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.28	7.3	0.0	0.0	low_quality	reject	22213
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.29	51.72	1.52	0.0	medium_quality	keep	3728
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.3	14.81	1.72	0.0	low_quality	reject	1998
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.30	4.31	0.0	0.0	low_quality	reject	1844
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.31	15.52	0.0	0.0	low_quality	reject	2853
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.32	60.84	7.33	0.0	medium_quality	keep	5152
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.33	99.01	0.0	0.0	high_quality	keep	61212
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.34	0.0	0.0	0.0	low_quality	reject	12064
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.35	97.74	6.39	3.7	medium_quality	keep	282908
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.4	4.17	0.0	0.0	low_quality	reject	1822
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.5	94.86	2.2	50.0	high_quality	keep	19644
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.6	89.15	2.99	25.0	medium_quality	keep	12268
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.7	93.35	2.04	54.55	high_quality	keep	33763
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.8	89.16	2.33	40.0	medium_quality	keep	12537
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.5.up.0.4.mut_rate.0_sample_0.bin.9	0.0	0.0	0.0	low_quality	reject	65374
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.1	89.22	1.72	0.0	medium_quality	keep	683087
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.10	95.84	6.12	30.3	medium_quality	keep	65968
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.11	55.0	4.56	36.36	medium_quality	keep	3112
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.12	94.0	5.06	21.05	medium_quality	keep	78135
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.13	89.43	4.05	37.5	medium_quality	keep	18693
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.16	9.26	0.0	0.0	low_quality	reject	13576
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.17	97.07	10.12	16.18	low_quality	reject	104358
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.19	85.85	5.43	28.0	medium_quality	keep	8420
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.2	96.48	4.03	3.45	high_quality	keep	91353
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.20	82.46	1.75	100.0	medium_quality	keep	157684
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.22	96.86	0.91	21.43	high_quality	keep	83482
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.23	63.1	27.59	76.47	low_quality	reject	6413
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.25	76.12	11.43	36.11	low_quality	reject	24768
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.26	98.11	3.59	11.11	high_quality	keep	98306
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.27	28.45	0.86	0.0	low_quality	reject	2311
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.28	42.41	0.0	0.0	low_quality	reject	3446
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.30	48.43	0.0	0.0	low_quality	reject	4036
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.33	58.62	0.0	0.0	medium_quality	keep	4750
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.36	93.39	83.67	28.95	low_quality	reject	8591
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.4	99.54	0.4	0.0	high_quality	keep	228083
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.40	89.57	2.42	40.0	medium_quality	keep	24813
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.42	80.14	0.0	0.0	medium_quality	keep	18253
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.43	0.0	0.0	0.0	low_quality	reject	17366
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.44	48.04	1.72	0.0	low_quality	reject	11435
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.49	88.53	4.49	33.33	medium_quality	keep	36095
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.5	100.0	11.76	10.53	low_quality	reject	73658
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.50	97.29	3.49	0.0	high_quality	keep	133389
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.51	52.69	0.0	0.0	medium_quality	keep	5076
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.52	89.78	3.72	23.81	medium_quality	keep	84548
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.54	74.94	5.59	88.46	medium_quality	keep	10638
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.56	8.26	0.41	20.0	low_quality	reject	105208
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.57	24.57	3.66	0.0	low_quality	reject	266768
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.6	98.41	2.3	22.22	high_quality	keep	93669
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.60	95.37	0.93	0.0	high_quality	keep	305455
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.63	100.0	1.19	0.0	high_quality	keep	331485
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.64	77.59	13.79	22.22	low_quality	reject	47582
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.65	0.0	0.0	0.0	low_quality	reject	27959
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.68	0.0	0.0	0.0	low_quality	reject	40302
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.69	42.71	1.72	0.0	low_quality	reject	4288
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.7	30.17	0.0	0.0	low_quality	reject	4536
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.72	60.09	7.38	0.0	medium_quality	keep	5696
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.74	60.34	1.72	0.0	medium_quality	keep	245108
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.75	88.68	0.15	0.0	medium_quality	keep	17139
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.76	0.0	0.0	0.0	low_quality	reject	116721
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.77	99.22	114.5	52.7	low_quality	reject	67152
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.78	38.24	11.9	2.86	low_quality	reject	18721
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.79	100.0	0.0	0.0	high_quality	keep	208834
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_1.bin.8	92.74	0.27	0.0	high_quality	keep	62633
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.1	0.0	0.0	0.0	low_quality	reject	1875
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.10	94.2	58.59	6.0	low_quality	reject	24008
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.11	59.84	0.35	0.0	medium_quality	keep	4110
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.12	31.9	0.0	0.0	low_quality	reject	3006
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.13	86.04	54.53	3.08	low_quality	reject	4221
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.14	78.42	3.27	0.0	medium_quality	keep	5823
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.15	4.17	0.0	0.0	low_quality	reject	1873
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.16	14.04	0.88	0.0	low_quality	reject	2101
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.17	4.17	0.0	0.0	low_quality	reject	3373
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.18	47.12	0.36	0.0	low_quality	reject	5096
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.19	89.44	14.11	3.64	low_quality	reject	26676
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.2	86.61	1.71	50.0	medium_quality	keep	18253
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.20	0.0	0.0	0.0	low_quality	reject	2395
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.21	84.3	3.53	11.11	medium_quality	keep	8803
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.22	10.33	0.0	0.0	low_quality	reject	5639
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.23	80.44	6.12	19.44	medium_quality	keep	6185
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.24	87.96	2.44	21.74	medium_quality	keep	18372
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.25	91.89	1.5	0.0	high_quality	keep	180164
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.26	77.13	2.54	20.0	medium_quality	keep	4876
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.27	91.62	5.12	0.0	medium_quality	keep	502587
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.28	0.0	0.0	0.0	low_quality	reject	1836
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.29	88.73	0.45	50.0	medium_quality	keep	43362
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.3	95.06	135.49	1.81	low_quality	reject	2769
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.30	89.06	0.77	0.0	medium_quality	keep	84897
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.31	10.34	0.0	0.0	low_quality	reject	25842
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.32	73.13	1.75	0.0	medium_quality	keep	18076
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.33	88.91	3.72	25.0	medium_quality	keep	52861
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.34	100.0	173.91	4.35	low_quality	reject	5832
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.35	33.1	0.0	0.0	low_quality	reject	2929
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.36	84.51	2.78	33.33	medium_quality	keep	13311
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.37	79.44	2.16	14.29	medium_quality	keep	7984
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.38	53.56	4.93	12.5	medium_quality	keep	3177
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.39	88.2	1.72	0.0	medium_quality	keep	362320
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.4	40.87	13.96	0.0	low_quality	reject	16481
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.40	73.91	4.07	0.0	medium_quality	keep	22054
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.5	0.0	0.0	0.0	low_quality	reject	1727
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.6	26.02	1.72	0.0	low_quality	reject	2302
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.7	58.26	5.6	0.0	medium_quality	keep	5036
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.8	32.98	0.29	0.0	low_quality	reject	3789
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_0.bin.9	13.24	3.45	0.0	low_quality	reject	2315
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.1	88.71	4.18	18.18	medium_quality	keep	15252
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.10	0.0	0.0	0.0	low_quality	reject	20740
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.11	86.88	10.53	4.76	low_quality	reject	12670
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.12	86.32	1.67	25.0	medium_quality	keep	23767
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.13	91.46	0.49	0.0	high_quality	keep	173641
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.14	29.66	1.72	0.0	low_quality	reject	3970
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.15	36.71	3.45	50.0	low_quality	reject	2436
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.16	45.09	21.55	0.0	low_quality	reject	2318
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.17	49.97	1.39	0.0	low_quality	reject	4363
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.18	85.54	1.57	33.33	medium_quality	keep	37633
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.19	75.87	5.03	13.79	medium_quality	keep	7135
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.2	64.66	0.0	0.0	medium_quality	keep	14999
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.20	88.59	3.87	8.33	medium_quality	keep	26835
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.21	56.17	1.71	33.33	medium_quality	keep	3172
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.22	79.4	1.68	0.0	medium_quality	keep	10414
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.23	57.78	1.62	16.67	medium_quality	keep	3662
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.24	16.15	0.0	0.0	low_quality	reject	2103
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.25	0.0	0.0	0.0	low_quality	reject	1804
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.26	83.69	1.72	0.0	medium_quality	keep	133050
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.27	89.13	0.57	0.0	medium_quality	keep	63273
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.28	0.0	0.0	0.0	low_quality	reject	1789
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.29	44.56	11.42	0.0	low_quality	reject	13781
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.3	80.93	45.53	1.57	low_quality	reject	2651
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.30	77.96	1.15	0.0	medium_quality	keep	26932
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.31	55.52	3.45	0.0	medium_quality	keep	3989
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.32	79.31	35.34	3.7	low_quality	reject	6374
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.33	91.57	0.45	0.0	high_quality	keep	16284
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.34	85.47	9.29	7.58	medium_quality	keep	11332
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.35	89.78	2.43	33.33	medium_quality	keep	82628
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.36	35.49	18.92	0.0	low_quality	reject	1973
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.37	0.0	0.0	0.0	low_quality	reject	63324
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.38	91.84	5.76	0.0	medium_quality	keep	837989
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.39	73.04	3.45	0.0	medium_quality	keep	6610
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.4	0.0	0.0	0.0	low_quality	reject	2650
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.40	57.34	6.03	25.0	medium_quality	keep	3551
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.41	23.28	0.0	0.0	low_quality	reject	2850
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.42	86.52	119.48	6.73	low_quality	reject	5305
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.43	88.34	1.95	0.0	medium_quality	keep	69632
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.44	66.01	16.43	4.0	low_quality	reject	3152
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.45	34.48	8.62	0.0	low_quality	reject	3633
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.46	64.13	5.85	8.33	medium_quality	keep	4145
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.47	75.68	17.91	6.25	low_quality	reject	5763
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.48	97.02	244.69	7.25	low_quality	reject	14154
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.49	31.5	0.0	0.0	low_quality	reject	3361
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.5	91.09	2.67	3.23	high_quality	keep	180971
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.50	90.19	2.65	0.0	high_quality	keep	15370
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.51	85.3	0.71	0.0	medium_quality	keep	17520
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.52	79.82	1.75	0.0	medium_quality	keep	55785
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.53	40.18	1.0	0.0	low_quality	reject	3715
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.6	82.19	0.99	0.0	medium_quality	keep	7740
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.7	24.14	1.72	0.0	low_quality	reject	2815
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.8	88.43	1.34	11.11	medium_quality	keep	18998
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.02_sample_1.bin.9	85.47	3.99	14.29	medium_quality	keep	20532
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_2.bin.1	20.0	0.0	0.0	low_quality	reject	2450
profile.n.80.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_2.bin.10	91.93	3.97	20.0	high_quality	keep	13200
